source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,ruwe,average_rv,average_rv_error,num_clean_epochs_rv
6053688375762809728,185.27848315992617,-64.00091416605596,-6.616394346710587,0.028139317,0.6946506273089322,0.028336039,0.96383494,,,
6053765479021456128,186.19636270182556,-63.40911484158801,-5.7874822263251,0.049026035,0.72022082097661,0.056256548,1.0556974,,,
6054829806275577216,185.3379293350685,-62.28163515187921,-10.914670129267629,0.01344555,-0.4712079719306856,0.018135259,0.81605566,-5.9365516,0.4385043,23.0
6054877428876188672,186.98891770966225,-61.627062136176114,-6.807522727697736,0.034279373,-0.5161509178359489,0.040366393,1.0228183,-17.125246,2.5017967,19.0
6054992602724692608,188.59724588986228,-61.23762317904804,-5.983682334485177,0.021909256,0.2505777270327738,0.02391816,1.3865854,-27.439417,1.356062,14.0
6057507151451710464,182.95356858017567,-62.227497194151006,-6.541251823310692,0.03360082,0.951402161329294,0.034116995,0.99022275,,,
6054534484323979392,185.337787112806,-63.18523164961911,-6.259142424313332,0.012844538,0.4504360559594774,0.014393663,1.0661438,,,
6054283795680793856,181.61908954168925,-63.66061672950456,-6.027871575605585,0.022181178,0.9440625907313528,0.023893815,1.103244,,,
5233945488793202816,178.5044010115462,-69.37000844797991,-1.330752564509596,0.042746954,0.8703466484720881,0.040556367,0.9666094,,,
6058336561172023808,187.28346177355064,-60.18755835289506,-5.8049820595292125,0.018343601,0.8567652474159453,0.018451035,0.9930623,,,
5859972946880769408,189.52856053659949,-66.38307805826918,-4.206784763560714,0.021206105,0.0929577492830425,0.024205351,1.1154723,,,
5861392377669480320,188.32961521951648,-64.10862028864803,-5.759590264621359,0.025095602,0.2703325491603379,0.028675942,0.9649986,,,
6053649721047932032,189.0719017909057,-63.29349505798291,-3.988280792790533,0.017155236,-0.8619190537329114,0.018708656,1.0486116,,,
6053973561557333888,180.9369010378756,-64.65201739698148,-3.899426484807071,0.061546627,0.9517452407627488,0.065253295,1.1439637,,,
6054898834987111936,185.15551235456795,-61.97098170729544,-6.254379748308255,0.063451916,0.6766166251945299,0.06608379,1.0344728,,,
6054935874795049216,185.9069467946036,-61.62912882684149,-10.104751852934516,0.027959554,-0.7297137669005495,0.030357229,1.1609027,,,
5861322837920614784,188.7823036731186,-64.46295641469483,-5.516066730108176,0.015749175,0.2705490240875253,0.018732782,0.9333542,,,
5861427532039514624,189.53841504671036,-63.73252933105774,-6.224157233550044,0.029153645,-0.1353564571384247,0.032528125,0.9702606,,,
6053310276871848704,184.7482758545264,-64.17010414635426,-3.9606038111630486,0.10755836,0.2011093439821013,0.11338941,1.0230391,,,
6054395464822934784,183.29828906491645,-63.17697399325129,-6.0290324733108775,0.05491053,0.3733476128509495,0.055367414,1.1086915,,,
6055448178465709312,189.89032727246624,-62.10801320671453,-6.485826114954072,0.028645176,0.1219008338328311,0.0321144,1.483588,,,
6053765410301929600,186.11474794032563,-63.42776407881449,-6.061194074339072,0.04532958,0.5047669683386241,0.05149777,1.0439161,,,
6054133536200367104,183.5812017682042,-63.66360996533898,-6.817894322776242,0.013718451,0.6817899903780855,0.0129037695,0.86482173,,,
6057402526059795072,181.66763293372628,-62.59684489743529,-6.796028680332687,0.01019791,0.2140800741753219,0.011285103,0.90766287,-7.530337,1.7310438,16.0
5860660863188528512,180.00315821620202,-66.81526224218544,-4.0102789434592365,0.019773608,0.6485971151009102,0.020640591,1.0009807,,,
