galaxy,stationary_role,panel_row,panel_col,point_index,pdf_drawing_index,x_pdf,y_pdf,r_over_rout,log10_sigma_hi_msun_pc2,sigma_hi_msun_pc2,radius_status,source_quantity,helium_status,lelli_ref,profile_republication,profile_reference_provenance,acquisition_status
NGC2903,calibration,1,1,25,89,175.703002930,181.604980469,0.818077276,-0.080111293,0.831550649,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,26,89,181.764007568,184.635009766,0.888566741,-0.200278232,0.630553249,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,27,89,188.473007202,188.963989258,0.966592386,-0.371959812,0.424658858,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,28,89,196.697998047,192.643005371,1.062249004,-0.517864707,0.303483646,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,29,89,199.944000244,198.054016113,1.100000000,-0.732458210,0.185157705,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,0,93,199.944000244,175.328979492,0.000000000,0.168786574,1.474981503,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,1,93,202.108993530,172.947998047,0.025121492,0.263213138,1.833213883,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,2,93,203.191009521,167.104003906,0.037676661,0.494978187,3.125922360,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,3,93,204.488998413,163.424987793,0.052737871,0.640883082,4.374043343,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
NGC5033,blind,1,2,4,93,206.654006958,161.260009766,0.077859540,0.726743237,5.330196707,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Kent 1986 + Begeman 1987,vector_profile_candidate_recovered
