radius_arcsec,radius_kpc,sigma_hi_msun_pc2,pixel_x,pixel_y,radius_err_kpc,sigma_hi_err_msun_pc2,galaxy,source,method,distance_mpc_frozen
23.90891840607211,11.63772529498286,4.297872340425531,140.0,331.8333333333333,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
25.104364326375712,12.219611559732004,4.531914893617021,147.0,321.75,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
26.64136622390892,12.967751042980904,4.2272727272727275,156.0,334.875,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
28.349146110056928,13.799017135479681,4.316247582205029,166.0,331.0416666666667,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
29.71537001897533,14.464030009478702,4.185686653771761,174.0,336.6666666666667,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
30.398481973434537,14.796536446478213,4.549323017408124,178.0,321.0,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
31.764705882352942,15.461549320477226,4.262572533849129,186.0,333.3611111111111,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
33.30170777988615,16.20968880372612,4.537717601547389,195.0,321.5,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
34.66793168880455,16.87470167772514,4.270309477756286,203.0,333.02777777777777,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
36.03415559772296,17.53971455172416,4.572533849129594,211.0,320.0,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
37.22960151802657,18.121600816473306,4.262572533849129,218.0,333.3611111111111,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
38.59582542694497,18.786613690472327,4.526112185686654,226.0,322.0,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
39.96204933586338,19.45162656447135,4.2321083172147,234.0,334.6736111111111,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
41.15749525616699,20.033512829220492,4.52321083172147,241.0,322.125,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
42.523719165085386,20.69852570321951,4.165860735009671,249.0,337.52777777777777,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
43.71916508538899,21.280411967968654,4.514506769825919,256.0,322.5,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
45.2561669829222,22.02855145121755,4.1692456479690525,265.0,337.38194444444446,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
47.47628083491461,23.109197371466,4.346228239845262,278.0,329.75,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
49.86717267552182,24.27396990096429,4.045454545454546,292.0,342.7083333333333,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
51.74573055028463,25.18936260221295,3.8733075435203097,303.0,350.125,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
