galaxy,stationary_role,source,source_pdf,source_panel_index,vector_vertex_index,radius_source_kpc,radius_source_arcsec_derived,sigma_hi_msun_pc2,source_distance_mpc,source_rhi_kpc_anchor,source_mean_sigma_hi_3p2h_anchor,axis_kpc_per_pdf_x,axis_sigma_per_pdf_y,axis_tick_nice_score,helium_applied,frozen_distance_applied,profile_status
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,39,6.492872718,132.5992467,1.451483652,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,40,6.658088544,135.9733301,1.288544002,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,41,6.825159305,139.3852955,1.124449703,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,42,6.99228335,142.798349,0.9620017105,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,43,7.157878822,146.1801857,0.7974753491,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,44,7.324949583,149.5921511,0.6349044424,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,45,7.492073628,153.0052046,0.4756931928,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,46,7.657292784,156.379356,0.4236967244,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,47,7.824360215,159.7912534,0.3721323183,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,48,7.9900123,163.1742463,0.3201358498,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,49,8.157079732,166.5861436,0.2697931372,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,0,0,0,5.326458008,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,1,0.2245290406,3.562498659,5.539489883,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,2,0.4466237354,7.086372675,5.75380781,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,3,0.6711821459,10.64933733,5.968521213,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,4,0.8956818167,14.21136999,6.18283914,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,5,1.118289786,17.74338789,6.39621517,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,6,1.342334922,21.29820867,6.6105814,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,7,1.566863963,24.86070733,6.825294803,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,8,1.789449834,28.39237462,7.039664052,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,9,2.013979154,31.95487771,7.25422651,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,10,2.236074129,35.47875617,7.467309706,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,11,2.46060289,39.04125039,7.596355713,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,12,2.68513221,42.60375349,7.580871762,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,13,2.907710809,46.13530539,7.564104777,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,14,3.13223957,49.69779961,7.548672148,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
