annulus_index,r_in_kpc,r_center_kpc,r_out_kpc,valid_pixel_count,expected_pixel_count,valid_area_fraction,usable,sigma_hi_raw_msun_pc2,sigma_hi_raw_std_msun_pc2,sigma_hi_raw_sem_beam_msun_pc2,n_eff_beams
18,2.1668382369007224,2.2270281879257428,2.2872181389507626,1021,1038.653174908276,0.9830037828461508,1,2.2875092186867154,1.1561892836209913,0.17710614385542356,42.61776054957414
19,2.2872181389507626,2.347408089975783,2.407598041000803,1108,1094.7965897681802,1.0120601492142167,1,1.8795496270564984,0.9011457218299819,0.1325081844629396,46.249244553308664
20,2.407598041000803,2.4677879920258228,2.5279779430508427,1146,1150.9400046280878,0.9957078521832387,1,1.6303175351296453,0.923832875627524,0.13357299465368933,47.8354099802272
21,2.5279779430508427,2.588167894075863,2.648357845100883,1189,1207.0834194879951,0.9850189148520775,1,1.5032036409338605,0.8812934437459842,0.12509707941111958,49.63028138437185
22,2.648357845100883,2.7085477961259032,2.768737747150923,1284,1263.2268343479068,1.0164445253118903,1,1.360855724596383,0.757796230327246,0.10351123429043954,53.595694951668165
23,2.768737747150923,2.828927698175943,2.8891176492009634,1278,1319.3702492078098,0.9686439426441139,1,1.218389710762414,0.7510816245786115,0.10283460130686313,53.345247778996814
24,2.8891176492009634,2.9493076002259833,3.0094975512510036,1386,1375.5136640677151,1.0076235781629928,1,1.0245148048245436,0.6778622439571917,0.08912045361935729,57.85329688708106
25,3.0094975512510036,3.069687502276023,3.1298774533010434,1420,1431.6570789276202,0.9918576319013824,1,0.83904021590995,0.5903741417467221,0.07668328578768574,59.27249753221869
26,3.1298774533010434,3.1900674043260637,3.2502573553510836,1436,1487.8004937875298,0.9651831720692201,1,0.7892095963490042,0.5853168576092596,0.07560166686843472,59.94035665934228
27,3.2502573553510836,3.310447306376104,3.370637257401124,1535,1543.9439086474351,0.9942071026043489,1,0.716719480824069,0.5599765932764492,0.06995733273534128,64.0727350084195
28,3.370637257401124,3.4308272084261437,3.491017159451164,1568,1600.087323507349,0.9799465172706858,1,0.6437400672084096,0.5685913308767767,0.07028210545331362,65.4501944581119
29,3.491017159451164,3.551207110476184,3.6113970615012043,1638,1656.23073836725,0.9889926337285454,1,0.6217544488549156,0.584795483569827,0.07072364242615503,68.37207813927762
30,3.6113970615012043,3.671587012526224,3.731776963551244,1680,1712.3741532271551,0.9810939956281503,1,0.5631081855087685,0.5699516023424748,0.06806140290213014,70.12520834797704
31,3.731776963551244,3.791966914576264,3.8521568656012843,1694,1768.5175680870605,0.9578643891179077,1,0.5191055968617114,0.5265978878228013,0.06262387951129579,70.70958508421019
32,3.8521568656012843,3.9123468166263047,3.9725367676513246,1662,1824.66098294697,0.9108541342927935,1,0.4882695982930477,0.45559194139374787,0.054698835729207806,69.373866829963
33,3.9725367676513246,4.0327267186763445,4.092916669701364,1634,1880.804397806875,0.8687772114449206,1,0.4540419968638153,0.40501066836208494,0.04904085074294236,68.20511335749671
34,4.092916669701364,4.153106620726385,4.213296571751404,1668,1936.9478126667848,0.8611486530984549,1,0.41613863726528877,0.36020865761915283,0.043169168370234934,69.62431400263435
35,4.213296571751404,4.273486522776425,4.333676473801445,1669,1993.091227526694,0.8373926777406614,1,0.3845096290299442,0.36565949101896517,0.04380929260666569,69.66605519807958
36,4.333676473801445,4.393866424826465,4.4540563758514855,1670,2049.2346423865997,0.8149383996627484,1,0.37851351076779277,0.3791494110729883,0.045411903753365755,69.70779639352479
37,4.4540563758514855,4.5142463268765045,4.574436277901525,1650,2105.378057246505,0.7837072274601048,1,0.38661610593192713,0.37438064238712204,0.045111676955076604,68.8729724846203
38,4.574436277901525,4.634626228926545,4.694816179951566,1630,2161.5214721064185,0.7540984538134395,1,0.38575180949217935,0.3593282336199459,0.04356273104997251,68.03814857571582
39,4.694816179951566,4.755006130976585,4.815196082001606,1613,2217.664886966302,0.7273416328499184,1,0.3678019400716706,0.32948483227999353,0.04015464601026677,67.328548253147
40,4.815196082001606,4.875386033026626,4.9355759840516455,1524,2273.8083018262378,0.67024119789517,1,0.3437843790969242,0.30535655835031,0.038285324031190025,63.61358185852203
41,4.9355759840516455,4.995765935076665,5.055955886101685,1485,2329.9517166861124,0.6373522632958737,1,0.32093151757601446,0.2900665625761062,0.03684274668997555,61.98567523615828
42,5.055955886101685,5.116145837126706,5.176335788151726,1473,2386.0951315460484,0.617326602165096,1,0.28391534398706963,0.2752767963310442,0.035106359067146986,61.48478089081558
43,5.176335788151726,5.236525739176746,5.296715690201766,1479,2442.238546405932,0.6055919484919025,1,0.2780808242514621,0.26404462788709504,0.033605534520061896,61.73522806348693
44,5.296715690201766,5.356905641226786,5.4170955922518065,1484,2498.3819612658585,0.5939844359299247,1,0.2728662894698893,0.26472992186708577,0.03363594545654713,61.943934040713046
45,5.4170955922518065,5.477285543276826,5.537475494301846,1476,2554.525376125768,0.5777981357298254,1,0.26155617445615,0.2451831977180983,0.031236695547939848,61.61000447715126
46,5.537475494301846,5.597665445326866,5.657855396351886,1450,2610.6687909856523,0.555413235492257,1,0.2596677499354119,0.24783779276250884,0.031856722324996596,60.524733395575424
