galaxy,stationary_role,source_reference,source_product,source_distance_mpc,frozen_distance_mpc,radius_arcsec,radius_kpc_source,radius_kpc_frozen,sigma_hi_msun_pc2,helium_included,extraction_method,pdf_x,pdf_y
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,482.39355973,53.93060135,48.64512177,1.99955250,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,314.631134,112.047188
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,497.23643877,55.59000450,50.14189478,1.86325630,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,317.123169,114.280273
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,512.07931781,57.24940765,51.63866778,1.80840534,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,319.615204,115.178955
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,526.92219685,58.90881080,53.13544079,1.77202802,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,322.107239,115.774963
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,541.76507589,60.56821395,54.63221380,1.64248714,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,324.599274,117.897369
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,556.60795493,62.22761710,56.12898680,1.76416862,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,327.091309,115.903732
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,571.45083398,63.88702025,57.62575981,1.89324384,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,329.583344,113.788956
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,586.29371302,65.54642340,59.12253281,1.92700741,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,332.075378,113.235771
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,601.13659206,67.20582655,60.61930582,1.88256208,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,334.567413,113.963966
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,615.97947110,68.86522970,62.11607882,1.94084169,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,337.059448,113.009109
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,630.82235014,70.52463285,63.61285183,2.03675869,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,339.551483,111.437599
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,645.66522918,72.18403600,65.10962484,2.13794277,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,342.043518,109.779793
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,660.50810822,73.84343915,66.60639784,2.17062695,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,344.535553,109.244293
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,675.35098726,75.50284230,68.10317085,2.12770152,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,347.027588,109.947586
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,690.19386630,77.16224545,69.59994385,2.06730316,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,349.519623,110.937157
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,705.03674534,78.82164860,71.09671686,1.93292687,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,352.011658,113.138786
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,719.87962438,80.48105175,72.59348987,1.75028917,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,354.503693,116.131134
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,734.72250342,82.14045489,74.09026287,1.59436682,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,356.995728,118.685776
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,749.56538246,83.79985804,75.58703588,1.45502288,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,359.487762,120.968796
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,764.40826150,85.45926119,77.08380888,1.24852060,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,361.979797,124.352142
