annulus_index,r_in_kpc,r_center_kpc,r_out_kpc,valid_pixel_count,expected_pixel_count,valid_area_fraction,usable,sigma_hi_raw_msun_pc2,sigma_hi_raw_std_msun_pc2,sigma_hi_raw_sem_beam_msun_pc2,n_eff_beams
31,8.617676563911221,8.756671347200111,8.895666130489001,6324,6361.968740456944,0.9940319196767671,1,0.20452895098658766,0.14792171514286956,0.017602004096080492,70.62193814663628
32,8.895666130489001,9.034660913777891,9.173655697066783,6300,6563.936002058765,0.959789979369698,1,0.17836239776596882,0.1428825282516809,0.017034718692102845,70.35392320110824
33,9.173655697066783,9.312650480355673,9.451645263644565,6041,6765.903263660586,0.8928593514551095,1,0.16237744278769087,0.13548553251270745,0.016495467153010406,67.4615952472849
34,9.451645263644565,9.590640046933455,9.729634830222345,5867,6967.870525262373,0.842007608885511,1,0.1562670661680071,0.13961779803177174,0.017248798735699313,65.51848689220668
35,9.729634830222345,9.868629613511235,10.007624396800127,5946,7169.837786864177,0.8293074650717532,1,0.14989161986198846,0.13662566823235767,0.01676663697298667,66.40070275456979
36,10.007624396800127,10.146619180089017,10.285613963377909,5486,7371.805048466015,0.7441867987463358,1,0.14477990516714795,0.12258890829469003,0.015662078285004828,61.26374963194919
37,10.285613963377909,10.424608746666799,10.563603529955689,5199,7573.772310067787,0.6864478871498406,1,0.14832519860494664,0.11718933343355044,0.015379927557477155,58.05873757500981
38,10.563603529955689,10.70259831324458,10.84159309653347,5115,7775.739571669624,0.6578152409625643,1,0.1319247763358897,0.11045281308681507,0.014614369271845219,57.1206852656617
39,10.84159309653347,10.98058787982236,11.11958266311125,4720,7977.706833271379,0.5916487154322382,1,0.1265585134072635,0.10114701477078593,0.013931830591115388,52.709605953846186
40,11.11958266311125,11.258577446400142,11.397572229689032,4451,8179.674094873233,0.5441537093500766,1,0.12380742766843254,0.09409310882788735,0.013346123373994946,49.70560510605283
41,11.397572229689032,11.536567012977923,11.675561796266816,4408,8381.641356475086,0.5259113117020545,1,0.11692018383926926,0.0897163526762555,0.012787243377623918,49.225411661981774
42,11.675561796266816,11.814556579555706,11.953551362844596,4409,8583.608618076842,0.5136534290152476,1,0.10984163286623806,0.08960880105337679,0.012770465605433648,49.23657895137878
43,11.953551362844596,12.092546146133486,12.231540929422378,4117,8785.575879678629,0.4686090082635081,0,0.10537685757258577,0.08398838613069441,0.01238667997630031,45.975730447454396
44,12.231540929422378,12.370535712711268,12.509530496000158,3929,8987.54314128045,0.43716062757505025,0,0.10202880355208335,0.08106533121229868,0.012238276516761246,43.87628004081815
45,12.509530496000158,12.648525279289048,12.78752006257794,3588,9189.51040288227,0.3904451752810065,0,0.10897773485442509,0.08123068115214342,0.012832757643260551,40.0682343564407
46,12.78752006257794,12.92651484586683,13.06550962915572,3544,9391.477664484059,0.37736340612323627,0,0.10533603565102898,0.07525183935794681,0.011961795617574152,39.57687362297264
47,13.06550962915572,13.20450441244461,13.343499195733504,3468,9593.444926085946,0.3614968373425497,0,0.09709867278655793,0.07172520870405165,0.011525463263031723,38.72815962880054
48,13.343499195733504,13.482493979022394,13.621488762311284,3363,9795.4121876877,0.34332399041125683,0,0.08855902654672552,0.0654299069506579,0.010676747784832427,37.555594242115404
49,13.621488762311284,13.760483545600176,13.899478328889066,3207,9997.379449289487,0.3207840630904453,0,0.07722532102394135,0.05220600603793417,0.008723627318865206,35.813497096183205
50,13.899478328889066,14.038473112177956,14.177467895466846,3142,10199.346710891276,0.30805894623082525,0,0.0697277084006598,0.04599375351911678,0.0077646498835505316,35.087623285378115
51,14.177467895466846,14.316462678755737,14.455457462044627,3028,10401.313972493097,0.29111706540228754,0,0.06696647717389584,0.04726093248349426,0.008127378118918973,33.81455229411997
52,14.455457462044627,14.594452245333517,14.733447028622408,2899,10603.281234094917,0.2734059331255166,0,0.06980104789726739,0.05413244401027214,0.009513923220533396,32.3739719619068
53,14.733447028622408,14.8724418119113,15.01143659520019,2879,10805.248495696738,0.2664445895109752,0,0.07021467292928628,0.05953315273586443,0.010499392335200591,32.15062617396677
54,15.01143659520019,15.150431378489081,15.289426161777973,2897,11007.215757298625,0.263190988881913,0,0.06223300503822285,0.05132286942555248,0.009023245974390194,32.351637383112795
55,15.289426161777973,15.428420945066863,15.567415728355753,2810,11209.183018900347,0.2506873155038974,0,0.05263111717088571,0.038979311254871064,0.006958363555091305,31.38008320557368
56,15.567415728355753,15.706410511644643,15.845405294933535,2626,11411.150280502136,0.23012579235653058,0,0.04824618324292726,0.03910786726070374,0.007221757250400348,29.32530195652544
57,15.845405294933535,15.984400078222425,16.123394861511315,2378,11613.117542103922,0.2047684432176326,0,0.04731750748194153,0.038510324148000194,0.007473040976061506,26.555814186069117
58,16.123394861511315,16.262389644800205,16.401384428089095,2301,11815.084803705779,0.19475103549644399,0,0.04414608503123162,0.03560817834821203,0.007024534692466437,25.695932902500015
59,16.401384428089095,16.540379211377985,16.679373994666875,2117,12017.052065307565,0.17616633334822931,0,0.0423315527831856,0.03286332314535257,0.006758917770248158,23.64115165345177
60,16.679373994666875,16.81836877795577,16.95736356124466,1789,12219.019326909483,0.14641109504264005,0,0.037774607822244476,0.02903322953206095,0.006495555409907168,19.978280731235344
61,16.95736356124466,17.096358344533552,17.235353127822442,1515,12420.98658851114,0.1219709875060414,0,0.03201199837098912,0.02544250220862326,0.006185568475961738,16.918443436456986
62,17.235353127822442,17.374347911111332,17.513342694400222,1434,12622.953850112995,0.11360257012958686,0,0.025163483513434795,0.020634065557849312,0.005156278245539136,16.013892995299877
63,17.513342694400222,17.652337477689112,17.791332260978002,1234,12824.921111714782,0.09621891544212434,0,0.020686794991416495,0.016610382110466494,0.004474537559427725,13.780435115899618
64,17.791332260978002,17.930327044266892,18.069321827555783,888,13026.888373316635,0.06816670063888142,0,0.023233877404445408,0.01685108130458971,0.005351153458352988,9.916552984537164
65,18.069321827555783,18.208316610844673,18.347311394133566,717,13228.855634918422,0.054199699489306696,0,0.027227150303511742,0.018740961534389013,0.006623055677341799,8.006946497649938
66,18.347311394133566,18.486306177422456,18.625300960711346,682,13430.822896520209,0.05077872035500516,0,0.025598721582519114,0.01992484355141149,0.007219861180115107,7.616091368754894
67,18.625300960711346,18.76429574400024,18.90329052728913,573,13632.79015812213,0.04203101444047524,0,0.01810279970103558,0.015899742379691533,0.006285486401768732,6.398856824481751
68,18.90329052728913,19.04228531057802,19.18128009386691,402,13834.757419723854,0.02905724963611426,0,0.014292610763543032,0.010983381488037557,0.00518381096885486,4.489250337594527
69,19.18128009386691,19.3202748771558,19.45926966044469,267,14036.72468132564,0.019021531451365925,0,0.0120903230253633,0.0075816301700444904,0.00439069307764241,2.98166626899935
70,19.45926966044469,19.59826444373358,19.73725922702247,101,14238.69194292743,0.00709334820957119,0,0.014175649345360392,0.009612131432180033,0.009050761654232941,1.1278962290971324
71,19.73725922702247,19.876254010311364,20.015248793600254,61,14440.65920452928,0.004224183891886839,0,0.009374746755587093,0.005898815437936016,0.005898815437936016,1.0
72,20.015248793600254,20.154243576889144,20.293238360178034,70,14642.62646613107,0.004780563115634517,0,0.007529213007904137,0.0053027746330149925,0.0053027746330149925,1.0
73,20.293238360178034,20.432233143466924,20.571227926755817,67,14844.59372773299,0.004513427664566472,0,0.010278730512978918,0.007118843142546551,0.007118843142546551,1.0
74,20.571227926755817,20.710222710044707,20.849217493333597,48,15046.56098933471,0.003190097726252751,0,0.012962311137580397,0.005828386282966394,0.005828386282966394,1.0
75,20.849217493333597,20.988212276622487,21.127207059911377,12,15248.528250936432,0.000786961194059044,0,0.012195838555595603,0.0010721126812210265,0.0010721126812210265,1.0
76,21.127207059911377,21.266201843200268,21.40519662648916,0,15450.495512538353,0.0,0,nan,nan,nan,1.0
77,21.40519662648916,21.54419140977805,21.68318619306694,0,15652.462774140142,0.0,0,nan,nan,nan,1.0
78,21.68318619306694,21.82218097635583,21.96117575964472,0,15854.4300357418,0.0,0,nan,nan,nan,1.0
79,21.96117575964472,22.10017054293361,22.2391653262225,0,16056.397297343718,0.0,0,nan,nan,nan,1.0
80,22.2391653262225,22.37816010951139,22.517154892800285,0,16258.364558945636,0.0,0,nan,nan,nan,1.0
81,22.517154892800285,22.656149676089175,22.795144459378065,0,16460.331820547293,0.0,0,nan,nan,nan,1.0
82,22.795144459378065,22.934139242666955,23.073134025955845,0,16662.299082149082,0.0,0,nan,nan,nan,1.0
83,23.073134025955845,23.212128809244742,23.351123592533632,0,16864.266343751264,0.0,0,nan,nan,nan,1.0
84,23.351123592533632,23.490118375822522,23.629113159111412,0,17066.233605352787,0.0,0,nan,nan,nan,1.0
85,23.629113159111412,23.768107942400302,23.907102725689192,0,17268.200866954576,0.0,0,nan,nan,nan,1.0
86,23.907102725689192,24.046097508978082,24.185092292266972,0,17470.168128556365,0.0,0,nan,nan,nan,1.0
87,24.185092292266972,24.324087075555862,24.463081858844756,0,17672.135390158153,0.0,0,nan,nan,nan,1.0
88,24.463081858844756,24.602076642133646,24.741071425422536,0,17874.10265176007,0.0,0,nan,nan,nan,1.0
89,24.741071425422536,24.880066208711426,25.019060992000316,0,18076.069913361727,0.0,0,nan,nan,nan,1.0
90,25.019060992000316,25.158055775289206,25.297050558578096,0,18278.037174963647,0.0,0,nan,nan,nan,1.0
91,25.297050558578096,25.436045341866986,25.57504012515588,0,18480.00443656544,0.0,0,nan,nan,nan,1.0
92,25.57504012515588,25.71403490844477,25.85302969173366,0,18681.971698167225,0.0,0,nan,nan,nan,1.0
93,25.85302969173366,25.99202447502255,26.13101925831144,0,18883.938959769013,0.0,0,nan,nan,nan,1.0
94,26.13101925831144,26.27001404160033,26.40900882488922,0,19085.9062213708,0.0,0,nan,nan,nan,1.0
95,26.40900882488922,26.54800360817811,26.686998391467007,0,19287.873482972984,0.0,0,nan,nan,nan,1.0
96,26.686998391467007,26.825993174755897,26.964987958044787,0,19489.840744574507,0.0,0,nan,nan,nan,1.0
97,26.964987958044787,27.103982741333677,27.242977524622567,0,19691.808006176296,0.0,0,nan,nan,nan,1.0
98,27.242977524622567,27.381972307911457,27.52096709120035,0,19893.775267778085,0.0,0,nan,nan,nan,1.0
99,27.52096709120035,27.65996187448924,27.79895665777813,0,20095.74252937987,0.0,0,nan,nan,nan,1.0
100,27.79895665777813,27.93795144106702,28.07694622435591,0,20297.70979098166,0.0,0,nan,nan,nan,1.0
101,28.07694622435591,28.2159410076448,28.35493579093369,0,20499.677052583444,0.0,0,nan,nan,nan,1.0
102,28.35493579093369,28.49393057422258,28.632925357511475,0,20701.644314185367,0.0,0,nan,nan,nan,1.0
103,28.632925357511475,28.771920140800365,28.910914924089255,0,20903.61157578702,0.0,0,nan,nan,nan,1.0
104,28.910914924089255,29.049909707378145,29.188904490667035,0,21105.57883738894,0.0,0,nan,nan,nan,1.0
105,29.188904490667035,29.327899273955925,29.466894057244815,0,21307.54609899073,0.0,0,nan,nan,nan,1.0
106,29.466894057244815,29.605888840533705,29.7448836238226,0,21509.513360592515,0.0,0,nan,nan,nan,1.0
107,29.7448836238226,29.88387840711149,30.02287319040038,0,21711.48062219444,0.0,0,nan,nan,nan,1.0
108,30.02287319040038,30.16186797368927,30.300862756978162,0,21913.447883796354,0.0,0,nan,nan,nan,1.0
109,30.300862756978162,30.439857540267052,30.578852323555946,0,22115.415145398143,0.0,0,nan,nan,nan,1.0
110,30.578852323555946,30.717847106844836,30.856841890133726,0,22317.38240699967,0.0,0,nan,nan,nan,1.0
111,30.856841890133726,30.995836673422616,31.134831456711506,0,22519.34966860172,0.0,0,nan,nan,nan,1.0
112,31.134831456711506,31.273826240000396,31.412821023289286,0,22721.316930203244,0.0,0,nan,nan,nan,1.0
113,31.412821023289286,31.551815806578176,31.69081058986707,0,22923.284191805298,0.0,0,nan,nan,nan,1.0
114,31.69081058986707,31.82980537315596,31.96880015644485,0,23125.25145340682,0.0,0,nan,nan,nan,1.0
115,31.96880015644485,32.107794939733736,32.24678972302263,0,23327.218715008872,0.0,0,nan,nan,nan,1.0
116,32.24678972302263,32.38578450631152,32.52477928960041,0,23529.18597661066,0.0,0,nan,nan,nan,1.0
117,32.52477928960041,32.663774072889304,32.80276885617819,0,23731.153238212446,0.0,0,nan,nan,nan,1.0
118,32.80276885617819,32.941763639467084,33.08075842275597,0,23933.120499814235,0.0,0,nan,nan,nan,1.0
119,33.08075842275597,33.219753206044864,33.35874798933375,0,24135.08776141602,0.0,0,nan,nan,nan,1.0
120,33.35874798933375,33.497742772622644,33.63673755591154,0,24337.05502301781,0.0,0,nan,nan,nan,1.0
121,33.63673755591154,33.775732339200424,33.91472712248932,0,24539.02228462013,0.0,0,nan,nan,nan,1.0
122,33.91472712248932,34.05372190577821,34.192716689067105,0,24740.989546221386,0.0,0,nan,nan,nan,1.0
123,34.192716689067105,34.33171147235599,34.470706255644885,0,24942.95680782317,0.0,0,nan,nan,nan,1.0
124,34.470706255644885,34.60970103893377,34.748695822222665,0,25144.92406942523,0.0,0,nan,nan,nan,1.0
125,34.748695822222665,34.88769060551155,35.026685388800445,0,25346.891331026753,0.0,0,nan,nan,nan,1.0
126,35.026685388800445,35.16568017208933,35.304674955378225,0,25548.858592628803,0.0,0,nan,nan,nan,1.0
127,35.304674955378225,35.44366973866712,35.582664521956005,0,25750.825854230327,0.0,0,nan,nan,nan,1.0
128,35.582664521956005,35.7216593052449,35.860654088533785,0,25952.793115832377,0.0,0,nan,nan,nan,1.0
129,35.860654088533785,35.99964887182268,36.138643655111565,0,26154.760377434162,0.0,0,nan,nan,nan,1.0
130,36.138643655111565,36.27763843840046,36.416633221689345,0,26356.72763903595,0.0,0,nan,nan,nan,1.0
131,36.416633221689345,36.55562800497824,36.69462278826713,0,26558.69490063774,0.0,0,nan,nan,nan,1.0
132,36.69462278826713,36.83361757155602,36.97261235484491,0,26760.66216223953,0.0,0,nan,nan,nan,1.0
133,36.97261235484491,37.1116071381338,37.25060192142269,0,26962.629423841314,0.0,0,nan,nan,nan,1.0
134,37.25060192142269,37.389596704711586,37.52859148800048,0,27164.596685443634,0.0,0,nan,nan,nan,1.0
135,37.52859148800048,37.667586271289366,37.80658105457826,0,27366.563947044895,0.0,0,nan,nan,nan,1.0
136,37.80658105457826,37.945575837867146,38.08457062115604,0,27568.53120864668,0.0,0,nan,nan,nan,1.0
137,38.08457062115604,38.223565404444926,38.36256018773382,0,27770.49847024873,0.0,0,nan,nan,nan,1.0
138,38.36256018773382,38.50155497102271,38.6405497543116,0,27972.465731850254,0.0,0,nan,nan,nan,1.0
139,38.6405497543116,38.77954453760049,38.91853932088938,0,28174.432993452305,0.0,0,nan,nan,nan,1.0
140,38.91853932088938,39.05753410417827,39.19652888746716,0,28376.400255054094,0.0,0,nan,nan,nan,1.0
141,39.19652888746716,39.335523670756054,39.47451845404494,0,28578.36751665562,0.0,0,nan,nan,nan,1.0
142,39.47451845404494,39.613513237333834,39.75250802062273,0,28780.33477825767,0.0,0,nan,nan,nan,1.0
143,39.75250802062273,39.891502803911614,40.03049758720051,0,28982.302039859464,0.0,0,nan,nan,nan,1.0
