galaxy,stationary_role,sample_index,source_artifact,source_radius_value,source_radius_unit,radius_kpc_frozen,sigma_source_msun_pc2,sigma_source_err_minus_msun_pc2,sigma_source_err_plus_msun_pc2,surface_density_multiplier_to_common_1p33,sigma_neutral_1p33_msun_pc2,sigma_neutral_1p33_err_minus_msun_pc2,sigma_neutral_1p33_err_plus_msun_pc2,radius_mapping_method,helium_mapping_method,inclination_amplitude_rescale,source_note
ESO079-G014,calibration,11,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,180.0457103,arcsec,25.051834967,0.0578680203,,,1.33,0.076964466999,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,0,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,0,arcsec,0,5.817258883,,,1.33,7.73695431439,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,1,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,60.0281294,arcsec,3.78331958999,6.223350254,,,1.33,8.27705583782,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,2,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,72.01828411,arcsec,4.53900842545,5.314720812,,,1.33,7.06857867996,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,3,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,84.08579466,arcsec,5.29957267296,4.573604061,,,1.33,6.08289340113,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,4,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,95.99859353,arcsec,6.05038609638,3.92893401,,,1.33,5.2254822333,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,5,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,108.0661041,arcsec,6.81095034515,3.47715736,,,1.33,4.6246192888,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,6,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,120.0562588,arcsec,7.56663917998,3.152284264,,,1.33,4.19253807112,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,7,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,132.0464135,arcsec,8.32232801481,2.578680203,,,1.33,3.42964466999,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO116-G012,blind,8,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,144.0365682,arcsec,9.07801684965,1.507614213,,,1.33,2.00512690329,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
