name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G030.19-00.16,ScN,281.7627908333334,-2.5100744444444443,0.212,0.01,-4.073177101090279,2.372585802795121,-0.011167075946323702,4.713802614500439,14.538071271986425,20.158576616198616,9.857120538551182,7.951659971876759,3.7926471339280847,5.284858967386613
G030.22-00.18,ScN,281.7845745833334,-2.4914805555555555,0.284,0.032,-5.107558300312149,1.772490224034839,-0.007609773192664528,5.406373404176464,50.13623376126496,25.587413090405477,-15.660179776982584,9.964488901979271,4.688194194686252,6.2085269898918485
G030.41-00.23,ScN,281.91982875,-2.341918611111111,0.253,0.021,-4.74156521390303,2.001262882771698,-0.01279965090825597,5.1466002179744805,33.689019671484274,17.00741532213172,5.392952065716079,8.948217169919968,4.345951481025319,4.862266976290765
G030.74-00.04,ScN,281.91552,-1.956937222222222,0.326,0.055,-5.514056239417592,1.568837590244086,0.0009124797203331368,5.732893475028377,45.38134733210814,6.127117159886268,8.676401601552833,10.103944950048792,6.275488119458335,5.853638002158269
G030.81-00.05,ScF,281.9457295833334,-1.9073377777777778,0.321,0.037,-5.474610055189494,1.5959791463202166,0.0006116019931492701,5.702499863381929,67.56258032688073,7.706957541026981,0.04852285961920291,6.661678967175794,6.372444670821955,5.089336161833946
G030.97-00.14,ScN,282.09184708333333,-1.8085416666666667,0.294,0.022,-5.233632625926532,1.750416550430864,-0.004873800167448161,5.518592987635973,24.89414976972239,2.5842206232780143,10.00195727922888,6.609799764507223,4.824523169311112,4.162480382012653
G031.41+00.30,ScN,281.89296041666665,-1.2129608333333333,0.267,0.029,-4.953608074939085,1.951968041317622,0.023412265727012684,5.324322698186791,51.646948501581825,0.41955652971691393,-14.228660259432033,14.700790470920962,13.741680414754633,12.075340918803462
G032.04+00.05,ScN,282.4023975,-0.7626497222222223,0.198,0.015,-3.869016281701815,2.6796996405493156,0.007822675588900822,4.70638684678957,14.38846939018081,4.472209701886243,-0.8077313488749871,11.207505480580481,5.088744224900737,4.912874676778965
G032.74-00.07,SgF,282.84109333333333,-0.20172777777777778,0.126,0.016,-1.4746466647638075,4.292740025813816,-0.009464070236957237,4.5389646082694926,16.096016686055346,-57.29036676375682,8.293628202168374,11.267225965606027,16.769756224278318,10.876431180828638
G033.09-00.07,ScF,282.9975354166667,0.10951722222222222,0.134,0.016,-1.8978306776120801,4.074543530765042,-0.008203493295831931,4.494848858970097,-25.8326644836396,-2.8785642121062835,-0.9957591804864864,19.607227487683073,4.971721012027046,5.19391812582824
G033.64-00.22,SgF,283.38567916666665,0.5275277777777778,0.131,0.02,-1.7949400764179124,4.228912527185802,-0.029116230600716362,4.5940734692122795,17.766713977281587,-33.8911787348668,3.6709206186758028,11.72632290734432,14.984712457684417,5.630156911593603
G034.41+00.23,SgN,283.3251329166667,1.42375,0.34,0.011,-5.723534378004075,1.6621323555277943,0.015923786536129785,5.959994105994306,8.372498516345049,4.6088210152871625,-20.332263420581484,10.192244127758334,9.771258627249232,10.028579026675414
G034.79-01.38,SgN,284.9415991666667,1.0219297222222221,0.381,0.02,-5.99519660189703,1.4971684386035466,-0.059458806600074667,6.179311905782736,-6.346524306869613,4.766330271360118,-5.588103379284169,8.381147008866552,7.525618891329856,7.871329378140011
G035.02+00.34,SgN,283.50274,2.0220047222222224,0.43,0.04,-6.245594740535673,1.33469463248996,0.01841280818223211,6.386615960350549,12.10863208289484,5.02472444124632,-1.3442123212211177,9.114693652763055,9.132373713671551,9.528321431091133
G035.19-00.74,SgN,284.5543820833333,1.676576111111111,0.456,0.045,-6.358117363915618,1.2639051271190207,-0.02415049630172056,6.482523627699558,-3.7572594852228165,-7.267794074822518,-8.15711381074952,7.670249564119923,7.11551435583677,5.512642015000512
