R_bin_kpc,absZ_bin_kpc,phi_bin_deg,n,Rbirth_median_kpc,deltaR_present_birth_median_kpc,outward_fraction_gt1,inward_fraction_gt1,inner_born_fraction_lt6,age_median_gyr,FeH_median,aFe_median,Vr_median_kms,Vphi_median_kms,Vz_median_kms,Rbirth_median_kpc_anom,deltaR_present_birth_median_kpc_anom,outward_fraction_gt1_anom,inward_fraction_gt1_anom,inner_born_fraction_lt6_anom,age_median_gyr_anom,FeH_median_anom,aFe_median_anom,Vr_median_kms_anom,Vphi_median_kms_anom,Vz_median_kms_anom
5.5,0.75,180.0,46,9.092066520482181,-3.177817025937016,0.13043478260869565,0.6739130434782609,0.30434782608695654,10.478699980234138,-0.778654437640445,0.40825550946827427,46.38555777846588,-184.88964431509623,4.700288160589585,-2.958290165530883,3.038606299306301,0.0,0.0,0.0,1.7689271854122417,0.0,0.040505114000030484,67.98901480599946,0.0,0.11584522282628207
5.5,0.75,195.0,23,13.035066915942187,-7.4395369036311125,0.13043478260869565,0.8260869565217391,0.13043478260869565,8.240235007908817,-0.9629076964209318,0.3677503954682438,-21.603457027533572,-138.33432065399444,-7.559148364588355,0.9847102299291226,-1.223113578387795,0.0,0.15217391304347827,-0.1739130434782609,-0.46953778691307946,-0.18425325878048682,0.0,0.0,46.555323661101795,-12.143591302351657
5.5,1.0,180.0,43,7.905109482976991,-2.313670079457756,0.23255813953488372,0.627906976744186,0.3488372093023256,10.754626906515158,-0.8279774374099136,0.41634378884241596,10.140190680101314,-163.89761258983737,-7.258931973393936,-2.0485355140210206,2.0137374269941457,0.11627906976744186,-0.12354651162790697,0.1275436046511628,1.3963407231317593,0.0814185182583218,-0.010047013311896391,-3.4670499693346617,-11.108265382689524,-11.815117619633401
5.5,1.0,195.0,32,12.002180511019034,-6.3411449334460475,0.0,0.875,0.09375,7.961945460251638,-0.9908144739265572,0.4364378154662088,17.07429061877064,-141.6810818244583,16.371303265872868,2.0485355140210224,-2.0137374269941457,-0.11627906976744186,0.12354651162790697,-0.1275436046511628,-1.396340723131761,-0.0814185182583218,0.010047013311896447,3.4670499693346635,11.108265382689552,11.815117619633401
5.5,1.25,180.0,26,8.256153336209438,-2.4566319067004194,0.11538461538461539,0.6153846153846154,0.34615384615384615,11.026361672655753,-0.8826422391780127,0.4018001581445057,5.498077940211974,-143.1369594921219,0.7226254817802822,-2.7198727265686795,2.823075494427396,0.057692307692307696,-0.1923076923076923,0.17307692307692307,0.6850385304500577,0.37154879907188954,-0.01316917739048512,4.987259639472512,-58.81401860695446,5.090210699391084
5.5,1.25,210.0,21,13.695898789346796,-8.102782895555212,0.0,1.0,0.0,9.656284611755636,-1.6257398373217917,0.42813851292547594,-4.476441338733051,-25.50892227821296,-9.457795917001885,2.7198727265686777,-2.823075494427396,-0.057692307692307696,0.1923076923076923,-0.17307692307692307,-0.6850385304500595,-0.37154879907188954,0.01316917739048512,-4.987259639472512,58.81401860695446,-5.090210699391084
5.5,1.75,195.0,21,14.178735270525355,-8.427708589709521,0.0,0.9523809523809523,0.047619047619047616,8.504128620207643,-1.4746563458124478,0.3512442186382737,16.602201450223507,-129.02013284773284,17.392261347360208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,2.0,150.0,26,11.689374394494113,-6.07642701002517,0.038461538461538464,0.9230769230769231,0.07692307692307693,9.785841006636367,-1.4891917233360532,0.38657209423475625,-49.70332582585314,-128.46285737801514,-0.11658633918167016,0.0,0.0,-0.08153846153846153,0.20307692307692315,-0.12307692307692308,0.0,-0.5187973179794909,0.0,-45.96417772165995,0.0,0.0
5.5,2.0,180.0,25,6.656851279338894,-1.0867704284088404,0.12,0.56,0.32,10.520177159674578,-0.9165444291041821,0.4210829477197204,14.969398456356968,-153.50821208438367,21.073173288841915,-5.032523115155219,4.989656581616329,0.0,-0.15999999999999992,0.12,0.7343361530382104,0.053849976252380194,0.03451085348496413,18.70854656055016,-25.045354706368528,21.189759628023584
5.5,2.0,195.0,25,12.133931461715163,-6.279102457826999,0.12,0.72,0.2,8.611513411996768,-0.9703944053565623,0.32653166501222064,-3.739148104193193,-113.90078365025231,-9.409016376393973,0.4445570672210497,-0.20267544780182956,0.0,0.0,0.0,-1.1743275946395997,0.0,-0.06004042922253561,0.0,14.562073727762836,-9.292430037212302
