NAME,GL,GB,DIST,DIST_ERR,PX,PX_ERR,accel_source,has_binary_orbital_accel,has_spin_inferred_accel,ALOS_PB,ALOS_PB_ERR,ALOS_PS,ALOS_PS_ERR,ALOS_USE_mm_s_yr,ALOS_USE_ERR_mm_s_yr,aGal_1e10_m_s2,aGal_err_1e10_m_s2,x_moranlike_kpc,y_moranlike_kpc,z_moranlike_kpc,X_mwm_kpc,Y_mwm_kpc,Z_mwm_kpc,R_gal_kpc,phi_mwm_deg,duplicate_sky_location,sky_key,BSURF,CHAR_AGE
J1946+3417,69.294,4.713,2.174,7.089,0.46,1.5,spin_inferred,0,1,,,-8.945084411,13.04027998,-8.945084411,13.04027998,-2.834526203196694,4.132215371257637,7.443931770855608,2.026698855081931,0.1786259194662478,-7.443931770855608,2.026698855081931,0.1786259194662478,7.714896529334915,164.76970325039895,0,69.294|4.713|2.174,130198341.6,3.04e+17
J2010-1323,29.446,-23.54,3.125,1.074,0.32,0.11,spin_inferred,0,1,,,-3.729746854,1.087198433,-3.729746854,1.087198433,-1.1818854583365022,0.34451239416178664,5.715152818895789,1.4084142754927425,-1.2480912512811801,-5.715152818895789,1.4084142754927425,-1.2480912512811801,5.886136467560384,166.15615581351608,0,29.446|-23.54|3.125,137940845.8,7.34e+17
J2017+0603,48.621,-16.026,2.5,1.25,0.4,0.2,spin_inferred,0,1,,,5.658116453,0.7451141122,5.658116453,0.7451141122,1.7929489102466598,0.2361124141886582,6.6216332632991035,1.8029801394229097,-0.6901838353574258,-6.6216332632991035,1.8029801394229097,-0.6901838353574258,6.862708245057675,164.76839967628143,0,48.621|-16.026|2.5,153125637.6,1.83e+17
J2033+1734,60.857,-13.154,1.0,0.6,1.0,0.6,spin_inferred,0,1,,,-3.09949187,1.823226786,-3.09949187,1.823226786,-0.982169705554288,0.5777457049965776,7.735786706332631,0.8504904648067471,-0.22756915736089506,-7.735786706332631,0.8504904648067471,-0.22756915736089506,7.782398730250195,173.725965909671,0,60.857|-13.154|1.0,237913531.9,3.2e+17
J2124-3358,10.925,-45.438,0.476,0.023,2.1,0.1,spin_inferred,0,1,,,-2.754436505,1.508572004,-2.754436505,1.508572004,-0.8728282584860699,0.47803762136537625,7.882053382378185,0.06330097703595222,-0.33914598965151316,-7.882053382378185,0.06330097703595222,-0.33914598965151316,7.882307564181513,179.5398659872551,0,10.925|-45.438|0.476,157971430.7,4.99e+17
J2129-5721,338.005,-43.57,3.6,1.4,0.26,0.17,binary_orbital,1,1,10.12400499,5.951322894,10.04932624,5.807571549,10.12400499,5.951322894,3.2081035915278724,1.885860424747129,5.7915241765083225,-0.9768821645560111,-2.48126498539729,-5.7915241765083225,-0.9768821645560111,-2.48126498539729,5.873333895711024,189.57421411515784,0,338.005|-43.57|3.6,236396895.1,1.27e+17
J2145-0750,47.777,-42.084,0.625,0.015,1.4,0.08,binary_orbital,1,0,-0.400590657,0.3260564205,,,-0.400590657,0.3260564205,-0.1269395191649555,0.10332104485131949,7.898283218121238,0.3434985116487537,-0.4188871212990897,-7.898283218121238,0.3434985116487537,-0.4188871212990897,7.905749111953939,177.50976000033495,0,47.777|-42.084|0.625,640645131.3,3.21e+17
J2222-0137,62.018,-46.075,0.268,0.001,3.73,0.016,binary_orbital,1,0,-0.7426882733,0.3355595398,,,-0.7426882733,0.3355595398,-0.2353437122277993,0.1063324016401754,8.122769331946314,0.16418143654017686,-0.19302659517929505,-8.122769331946314,0.16418143654017686,-0.19302659517929505,8.124428420763639,178.84206700079324,0,62.018|-46.075|0.268,4247839291.0,3.06e+16
J2229+2643,87.693,-26.284,5.0,7.5,0.2,0.3,spin_inferred,0,1,,,5.113512884,6.355776217,5.113512884,6.355776217,1.6203744530636044,2.014023948906127,8.029539877179296,4.479417039807254,-2.2141041365653864,-8.029539877179296,4.479417039807254,-2.2141041365653864,9.194492245672302,150.8442847668536,0,87.693|-26.284|5.0,24155789.58,7.78e+18
J2234+0611,72.991,-43.006,0.971,0.038,1.03,0.04,binary_orbital,1,1,-5.792644097,8.572858279,0.1814775406,0.8666704806,-5.792644097,8.572858279,-1.8355781482115243,2.7165748596217707,8.00228747255285,0.6790155693239326,-0.6622947701418241,-8.00228747255285,0.6790155693239326,-0.6622947701418241,8.031043950618162,175.14991723048524,0,72.991|-43.006|0.971,145748726.9,3.08e+17
J2302+4442,103.395,-14.005,2.5,5.625,0.4,0.9,spin_inferred,0,1,,,0.6092616284,4.40019553,0.6092616284,4.40019553,0.19306335982457473,1.3943378235353767,8.771941846840672,2.3596983895009664,-0.6050164223852442,-8.771941846840672,2.3596983895009664,-0.6050164223852442,9.083784467597631,164.94356064268368,0,103.395|-14.005|2.5,260880946.8,2.03e+17
J2317+1439,91.361,-42.36,1.667,0.222,0.6,0.08,spin_inferred,0,1,,,-0.4120172339,0.5233874797,-0.4120172339,0.5233874797,-0.13056038288716504,0.16585148417496892,8.23925709128221,1.2314419943374368,-1.1232024025935579,-8.23925709128221,1.2314419943374368,-1.1232024025935579,8.330774681964574,171.4994777944263,0,91.361|-42.36|1.667,88898175.97,7.69e+17
J2322-2650,28.637,-70.228,0.769,1.183,1.3,2.0,spin_inferred,0,1,,,1.67927956,2.069637395,1.67927956,2.069637395,0.532131581615839,0.6558285151595812,7.981685621242921,0.1246723747622531,-0.7236645240882748,-7.981685621242921,0.1246723747622531,-0.7236645240882748,7.982659240966312,179.10512385591085,0,28.637|-70.228|0.769,39570836.57,3.92e+18
