4076140640824101120   7.41925  -6.91574   25.27 17.013  0.114 -0.38 0.2  1 Gaia_DR3 8.184 0.015
4070632534235286272   7.50038   2.2023    21.52 16.664  0.149 -0.19 0.2  1 P21      8.112 0.015
4118696585520277760   7.52474   2.79066   18.45 16.33   0.114 -0.03 0.2  1 Gaia_DR3 7.927 0.015
4069925032781120512   7.65436   0.44193    3.14 12.485  0.13   0.24 0.2  1 Gaia_DR3 7.894 0.015
4070670295593724416   7.77709   2.29487   21.25 16.637  0.121 -0.18 0.2  1 Gaia_DR3 8.131 0.015
4069887786823732608   7.8855   -0.099      2.24 11.754  0.133  0.19 0.2  1 Gaia_DR3 7.364 0.015
4070690636561939840   7.99543   2.4835    10.04 15.009  0.123  0.4  0.2  1 Gaia_DR3 8.566 0.015
4123179706771626112   8.04509   7.02603   18.22 16.302  0.124 -0.01 0.2  1 Gaia_DR3 8.182 0.015
4066429066901946368   8.11416  -2.43779    0.86  9.66   0.108  0.13 0.01 0 P21      7.962 0.007
4066375912402666624   8.30218  -3.18154   29.53 17.351  0.144 -0.61 0.2  1 Gaia_DR3 7.765 0.016
4070813536941913344   8.57104   1.1553     3.13 12.48   0.115  0.24 0.2  1 P21      8.678 0.015
4076246193919493376   8.58278  -7.75265   15.54 15.958  0.167  0.13 0.2  1 P21      8.431 0.015
4071099959717758592   8.65023   2.20214   22.58 16.768  0.178 -0.25 0.2  1 P21      8.187 0.015
4119147312180166144   8.74006   2.42812   20.54 16.563  0.112 -0.14 0.2  1 Gaia_DR3 8.089 0.015
4119172429149227520   8.88253   2.69228   23.54 16.859  0.156 -0.3  0.2  1 P21      8.077 0.015
4119249944725052288   8.97052   2.36234   22.04 16.716  0.131 -0.22 0.2  1 P21      8.093 0.015
4123710083671343232   9.32699   6.8314    18.19 16.3    0.109 -0.02 0.2  1 Gaia_DR3 8.719 0.015
4077490291331290368   9.65395  -7.31802   14.75 15.844  0.108  0.16 0.2  1 Gaia_DR3 8.33  0.015
4094007532908816896  10.12583  -1.08457    2.65 12.117  0.135  0.21 0.2  1 Gaia_DR3 7.682 0.015
4094205337582956416  10.33783  -1.01251    2.1  11.615  0.048  0.33 0.02 0 Gaia_DR3 7.939 0.008
4093976334264606976  10.5674   -1.73955    2.73 12.178  0.123  0.21 0.2  1 Gaia_DR3 7.901 0.015
4095359073189127808  11.07867   0.7412     2.03 11.533  0.15   0.18 0.2  1 Gaia_DR3 7.701 0.015
4091104989668551936  11.15313  -4.01599   14.24 15.768  0.14   0.18 0.2  1 Gaia_DR3 8.653 0.015
4095160267741633152  11.21477   0.26341    1.95 11.447  0.167  0.17 0.2  1 Gaia_DR3 7.685 0.015
4095782655730995968  11.90354   0.51129    2.09 11.6    0.056  0.32 0.01 0 Gaia_DR3 7.848 0.007
4094784475310672128  12.10901  -1.32325    1.88 11.371  0.184  0.17 0.2  1 Gaia_DR3 7.552 0.015
4096107909387492992  12.78923  -2.13593    0.51  8.542  0.08   0.01 0.01 0 Gaia_DR3 7.933 0.007
4096341040228858240  13.11424  -1.8851     2.48 11.968  0.07   0.05 0.01 0 Gaia_DR3 7.784 0.007
4097241677618247040  13.23462  -0.20052    2.14 11.653  0.12   0.18 0.2  1 Gaia_DR3 7.706 0.015
4096140001386430080  13.25636  -2.40735    2.02 11.531  0.119  0.18 0.2  1 Gaia_DR3 7.886 0.015
4149825546359977472  13.48235   7.73362    6.15 13.945  0.112  0.37 0.2  1 Gaia_DR3 8.621 0.015
4145660012181292160  13.69843   1.72054   14.87 15.862  0.136  0.14 0.2  1 Gaia_DR3 7.643 0.015
4092905375639902464  13.70629  -4.45964    0.64  9.025  0.121  0.0  0.01 0 P21      7.891 0.007
4080122796947250176  13.75847  -7.95844    1.03 10.074  0.043  0.14 0.01 0 Gaia_DR3 7.956 0.007
4097562700648199808  13.90815   0.64591    2.44 11.94   0.133  0.2  0.2  1 Gaia_DR3 7.847 0.015
4145697876614018048  14.25081   1.331      2.47 11.96   0.123  0.2  0.2  1 Gaia_DR3 7.797 0.015
4097663134168262912  14.35262   0.3434     2.3  11.813  0.064  0.4  0.06 0 Gaia_DR3 7.846 0.009
4096627497365471232  14.6035   -3.22893   18.55 16.342  0.135 -0.05 0.2  1 Gaia_DR3 8.472 0.015
