source_id_1,source_id_2,phase1_kpc,phase2_kpc,best_min_Neff_2kms,best_h_2kms,qualifying_h_2kms,Neff_U_at_best,Neff_V_at_best
4320165285017783168,2025179884408158464,-1.3180151471644346,3.675491706021214,4.170195243147653,7.0,2.0,4.474046043143927,4.170195243147653
2031982665929461504,2031745858613175040,4.870920701590028,4.414297908739168,4.168614067791063,7.0,4.0,4.168614067791063,4.175440238655977
4513281175196176512,2195158098523149312,-0.5553821435353719,14.622208144751117,4.163851847792113,7.0,5.0,4.163851847792113,4.33019297122895
4310507179195737984,2072235820984829312,-4.121974879050933,7.258123211473825,4.162924293377687,10.0,5.0,4.224997556539331,4.162924293377687
2165006259882192128,2195158098523149312,11.812473605287641,14.622208144751117,4.159328105838744,10.0,7.0,5.430298619510067,4.159328105838744
4512885247948565376,2031745858613175040,-1.027293880191791,4.414297908739168,4.157842806663758,7.0,3.0,4.157842806663758,4.57627539476129
2021540814501736320,2031745858613175040,3.2978077202738225,4.414297908739168,4.15594930487947,7.0,3.0,4.231079538225351,4.15594930487947
2021540814501736320,2072235820984829312,3.2978077202738225,7.258123211473825,4.154005903532686,7.0,4.0,4.451867374858638,4.154005903532686
2021540814501736320,2025179884408158464,3.2978077202738225,3.675491706021214,4.153600293483308,7.0,3.0,4.357922607497774,4.153600293483308
4512885247948565376,1871915630021420672,-1.027293880191791,9.334988515462278,4.150711952685813,7.0,5.0,4.150711952685813,4.154939731071534
4513281175196176512,2162679246615275264,-0.5553821435353719,11.047321291401156,4.149717766854582,7.0,5.0,4.6937729695860595,4.149717766854582
2072235820984829312,1978690990909022336,7.258123211473825,13.41499047438571,4.149230650474443,7.0,7.0,4.149230650474443,4.218478584248003
4512885247948565376,2025179884408158464,-1.027293880191791,3.675491706021214,4.145944407872421,7.0,3.0,4.145944407872421,4.6061751349514095
2062016551910446592,2195158098523149312,7.216691153427344,14.622208144751117,4.142521428415348,10.0,5.0,4.142521428415348,4.230339519312669
4512885247948565376,2195158098523149312,-1.027293880191791,14.622208144751117,4.14157273089772,10.0,7.0,4.684446056645869,4.14157273089772
4513399883752121216,2165006259882192128,-0.2951798599172809,11.812473605287641,4.139769350438839,7.0,5.0,4.338318920241504,4.139769350438839
