r NHI NHI_tot vel1 vel2 dvel1 dvel2 dvel1_over_v dvel2_over_v sigv_mom2 sigv_mom2_dense
707.750 0.116 0.325 nan -144.713 nan -12.053 nan 0.077 8.792 3.269
732.965 0.113 0.273 nan nan nan nan nan nan 8.736 nan
758.179 0.110 0.231 nan nan nan nan nan nan 8.448 nan
783.393 0.106 0.193 nan nan nan nan nan nan 8.054 nan
808.607 0.100 0.162 nan nan nan nan nan nan 7.903 nan
833.822 0.093 0.135 nan nan nan nan nan nan 7.748 nan
859.036 0.087 0.113 nan nan nan nan nan nan 7.536 nan
884.250 0.079 0.093 nan nan nan nan nan nan 7.218 nan
909.465 0.070 0.078 nan nan nan nan nan nan 6.702 nan
934.679 0.061 0.064 nan nan nan nan nan nan 6.381 nan
959.893 0.052 0.054 nan nan nan nan nan nan 6.195 nan
985.108 0.044 0.045 nan nan nan nan nan nan 6.055 nan
1010.322 0.037 0.037 nan nan nan nan nan nan nan nan
1035.536 0.031 0.031 nan nan nan nan nan nan nan nan
1060.750 0.026 0.026 nan nan nan nan nan nan nan nan
1085.965 0.022 0.022 nan nan nan nan nan nan nan nan
1111.179 0.018 0.018 nan nan nan nan nan nan nan nan
1136.393 0.015 0.015 nan nan nan nan nan nan nan nan
1161.608 0.013 0.013 nan nan nan nan nan nan nan nan
1186.822 0.011 0.011 nan nan nan nan nan nan nan nan
1212.036 0.010 0.010 nan nan nan nan nan nan nan nan
1237.251 0.008 0.008 nan nan nan nan nan nan nan nan
1262.465 0.007 0.007 nan nan nan nan nan nan nan nan
1287.679 0.006 0.006 nan nan nan nan nan nan nan nan
1312.893 0.005 0.005 nan nan nan nan nan nan nan nan
1338.108 0.005 0.005 nan nan nan nan nan nan nan nan
1363.322 0.004 0.004 nan nan nan nan nan nan nan nan
1388.536 0.004 0.004 nan nan nan nan nan nan nan nan
1413.751 0.003 0.003 nan nan nan nan nan nan nan nan
1438.965 0.003 0.003 nan nan nan nan nan nan nan nan
1464.179 0.003 0.003 nan nan nan nan nan nan nan nan
1489.394 0.002 0.002 nan nan nan nan nan nan nan nan
1514.608 0.002 0.002 nan nan nan nan nan nan nan nan
1539.822 0.002 0.002 nan nan nan nan nan nan nan nan
1565.036 0.002 0.002 nan nan nan nan nan nan nan nan
1590.251 0.001 0.001 nan nan nan nan nan nan nan nan
1615.465 0.001 0.001 nan nan nan nan nan nan nan nan
1640.679 0.001 0.001 nan nan nan nan nan nan nan nan
1665.894 0.001 0.001 nan nan nan nan nan nan nan nan
1691.108 0.001 0.001 nan nan nan nan nan nan nan nan
1716.322 0.001 0.001 nan nan nan nan nan nan nan nan
1741.536 0.001 0.001 nan nan nan nan nan nan nan nan
1766.751 0.000 0.000 nan nan nan nan nan nan nan nan
1791.965 0.000 0.000 nan nan nan nan nan nan nan nan
1817.179 0.000 0.000 nan nan nan nan nan nan nan nan
1842.394 0.000 0.000 nan nan nan nan nan nan nan nan
1867.608 0.000 0.000 nan nan nan nan nan nan nan nan
1892.822 0.000 0.000 nan nan nan nan nan nan nan nan
1918.037 0.000 0.000 nan nan nan nan nan nan nan nan
1943.251 0.000 0.000 nan nan nan nan nan nan nan nan
1968.465 0.000 0.000 nan nan nan nan nan nan nan nan
1993.679 0.000 0.000 nan nan nan nan nan nan nan nan
2018.894 0.000 0.000 nan nan nan nan nan nan nan nan
2044.108 0.000 0.000 nan nan nan nan nan nan nan nan
2069.322 0.000 0.000 nan nan nan nan nan nan nan nan
2094.537 0.000 0.000 nan nan nan nan nan nan nan nan
2119.751 0.000 0.000 nan nan nan nan nan nan nan nan
2144.965 0.000 0.000 nan nan nan nan nan nan nan nan
2170.180 0.000 0.000 nan nan nan nan nan nan nan nan
2195.394 0.000 0.000 nan nan nan nan nan nan nan nan
2220.608 0.000 0.000 nan nan nan nan nan nan nan nan
2245.822 0.000 0.000 nan nan nan nan nan nan nan nan
2271.037 0.000 0.000 nan nan nan nan nan nan nan nan
2296.251 0.000 0.000 nan nan nan nan nan nan nan nan
2321.465 0.000 0.000 nan nan nan nan nan nan nan nan
