older_lookback_gyr,younger_lookback_gyr,R_kpc,delta_surface_density_msun_per_kpc2,delta_SFR_surface_proxy_msun_per_yr_kpc2
12.25,11.65,7.25216023204641,851591.638981118,0.0014193193983018642
12.25,11.65,7.377180236047209,778013.5544406065,0.0012966892574010117
12.25,11.65,7.50220024004801,710744.7165421725,0.001184574527570288
12.25,11.65,7.62722024404881,649249.0696882328,0.001082081782813722
12.25,11.65,7.752240248049611,593035.5872992601,0.0009883926454987673
12.25,11.65,7.8772602520504105,541654.5435966465,0.0009027575726610781
12.25,11.65,8.00228025605121,494694.08829919307,0.0008244901471653222
12.25,11.65,8.12730026005201,451777.10024387843,0.0007529618337397978
12.25,11.65,8.25232026405281,412558.29777304747,0.0006875971629550795
12.25,11.65,8.37734026805361,376721.58542949386,0.0006278693090491568
12.25,11.65,8.50236027205441,343977.61807680584,0.00057329603012801
12.25,11.65,8.627380276055211,314061.5650228929,0.0005234359417048218
12.25,11.65,8.75240028005601,286731.0580775881,0.00047788509679598046
12.25,11.65,8.87742028405681,261764.30872795006,0.00043627384787991704
12.25,11.65,9.002440288057612,238958.3807741861,0.0003982639679569771
12.25,11.65,9.12746029205841,218127.60584151142,0.0003635460097358526
12.25,11.65,9.252480296059211,199102.13017482264,0.0003318368836247046
12.25,11.65,9.377500300060012,181726.58203949156,0.00030287763673248613
12.25,11.65,9.50252030406081,165858.84989823034,0.0002764314164970507
12.25,11.65,9.627540308061612,151368.9623158882,0.0002522816038598138
12.25,11.65,9.752560312062412,138138.0612658425,0.00023023010210973763
12.25,11.65,9.877580316063213,126057.46117776402,0.00021009576862960683
12.25,11.65,10.002600320064012,115027.78668105252,0.0001917129778017543
12.25,11.65,10.127620324064813,104958.18256492756,0.00017493030427487936
12.25,11.65,10.252640328065613,95765.58999863308,0.00015960931666438857
12.25,11.65,10.377660332066412,87374.08353671628,0.0001456234725611939
12.25,11.65,10.502680336067213,79714.26387800052,0.00013285710646333427
12.25,11.65,10.627700340068014,72722.70175551645,0.00012120450292586082
12.25,11.65,10.752720344068813,66341.42871095342,0.0001105690478515891
12.25,11.65,10.877740348069613,60517.470853617066,0.00010086245142269517
12.25,11.65,11.002760352070414,55202.42202270817,9.200403670451366e-05
12.25,11.65,11.127780356071213,50352.05306510741,8.392008844184573e-05
12.25,11.65,11.252800360072014,45925.95421071739,7.654325701786236e-05
12.25,11.65,11.377820364072814,41887.20777561044,6.981201295935077e-05
12.25,11.65,11.502840368073615,38202.0886514431,6.36701477524052e-05
12.25,11.65,11.627860372074414,34839.79024938679,5.8066317082311345e-05
12.25,11.65,11.752880376075215,31772.17375963604,5.295362293272676e-05
12.25,11.65,11.877900380076015,28973.538764734047,4.8289231274556775e-05
12.25,11.65,12.002920384076814,26420.41340772027,4.403402234620048e-05
12.25,11.65,12.127940388077615,24091.36246561595,4.015227077602661e-05
12.25,11.65,12.252960392078416,21966.811816064925,3.66113530267749e-05
12.25,11.65,12.377980396079215,20028.887911010486,3.338147985168416e-05
12.25,11.65,12.503000400080015,18261.27098702085,3.0435451645034766e-05
12.25,11.65,12.628020404080816,16649.0608481007,2.7748434746834516e-05
12.25,11.65,12.753040408081615,15178.654154303647,2.5297756923839428e-05
12.25,11.65,12.878060412082416,13837.632238904835,2.306272039817474e-05
12.25,11.65,13.003080416083217,12614.65855894749,2.1024430931579165e-05
12.25,11.65,13.128100420084015,11499.38495923937,1.9165641598732297e-05
12.25,11.65,13.253120424084816,10482.365998901256,1.747060999816877e-05
12.25,11.65,13.378140428085617,9554.980652864535,1.5924967754774234e-05
12.25,11.65,13.503160432086418,8709.360758743933,1.451560126457323e-05
12.25,11.65,13.628180436087217,7938.325632708985,1.3230542721181649e-05
12.25,11.65,13.753200440088017,7235.322326737716,1.2058870544562868e-05
12.25,11.65,13.878220444088818,6594.3710443208,1.099061840720134e-05
12.25,11.65,14.003240448089617,6010.015272631587,1.0016692121052651e-05
12.25,11.65,14.128260452090418,5477.276226694345,9.128793711157247e-06
12.25,11.65,14.253280456091218,4991.611235451373,8.319352059085628e-06
12.25,11.65,14.378300460092017,4548.875731110673,7.581459551851126e-06
12.25,11.65,14.503320464092818,4145.288531989829,6.908814219983052e-06
12.25,11.65,14.628340468093619,3777.400135475305,6.295666892458846e-06
12.25,11.65,14.753360472094418,3442.06376189461,5.73677293649102e-06
12.25,11.65,14.878380476095218,3136.4089122345886,5.227348187057651e-06
12.25,11.65,15.003400480096019,2857.8172229039865,4.7630287048399805e-06
12.25,11.65,15.12842048409682,2603.9004192879916,4.3398340321466554e-06
12.25,11.65,15.253440488097619,2372.4801868203194,3.954133644700535e-06
12.25,11.65,15.37846049209842,2161.56979383601,3.6026163230600187e-06
12.25,11.65,15.50348049609922,1969.3573146862732,3.2822621911437907e-06
12.25,11.65,15.628500500100019,1794.1903146062596,2.9903171910104344e-06
12.25,11.65,15.75352050410082,1634.5618697289674,2.724269782881614e-06
12.25,11.65,15.87854050810162,1489.0978065269837,2.4818296775449743e-06
12.25,11.65,16.00356051210242,1356.5450549238126,2.2609084248730223e-06
12.25,11.65,16.128580516103224,1235.7610184264047,2.0596016973773424e-06
12.25,11.65,16.253600520104023,1125.7038729620817,1.8761731216034707e-06
12.25,11.65,16.37862052410482,1025.4237137221978,1.7090395228703307e-06
12.25,11.65,16.503640528105624,934.054476281892,1.556757460469821e-06
12.25,11.65,16.628660532106423,850.8065646352934,1.4180109410588233e-06
12.25,11.65,16.753680536107222,774.9601246095559,1.291600207682594e-06
12.25,11.65,16.878700540108024,705.8589064452117,1.1764315107420202e-06
12.25,11.65,17.003720544108823,642.9046651970787,1.0715077753284652e-06
12.25,11.65,17.128740548109622,585.552052058487,9.759200867641455e-07
12.25,11.65,17.253760552110425,533.3039537773448,8.888399229622418e-07
12.25,11.65,17.378780556111224,485.7072410482036,8.095120684136732e-07
12.25,11.65,17.503800560112023,442.3488901600492,7.372481502667492e-07
12.25,11.65,17.628820564112825,402.8524452822709,6.714207421371185e-07
12.25,11.65,17.753840568113624,366.87479160618153,6.114579860103029e-07
12.25,11.65,17.878860572114423,334.10321214962056,5.568386869160346e-07
12.25,11.65,18.003880576115225,304.2527033984722,5.070878389974539e-07
12.25,11.65,18.128900580116024,277.06352712052615,4.617725452008772e-07
12.25,11.65,18.253920584116823,252.29897766169873,4.2049829610283144e-07
12.25,11.65,18.378940588117626,229.74334583819137,3.8290557639698584e-07
12.25,11.65,18.503960592118425,209.20006218539402,3.4866677030899025e-07
12.25,11.65,18.628980596119224,190.49000382876847,3.1748333971461427e-07
12.25,11.65,18.754000600120026,173.44995061581506,2.890832510263586e-07
12.25,11.65,18.879020604120825,157.93117740277592,2.632186290046267e-07
12.25,11.65,19.004040608121624,143.79817053531187,2.3966361755885324e-07
12.25,11.65,19.129060612122426,130.92745760836942,2.182124293472825e-07
12.25,11.65,19.254080616123225,119.20654054542463,1.9867756757570782e-07
12.25,11.65,19.379100620124028,108.53292290916386,1.8088820484860655e-07
12.25,11.65,19.504120624124827,98.81322315160016,1.6468870525266703e-07
