source_id,x,y,z,R,phi,U,V,eU,eV,Dist,e_mu,ruwe,rv_kms,rv_error_kms,rv_source,rv_epochs
4094007532908816896,-5.54177585467877,0.465812494101114,-0.04641540168618181,5.5613182702630235,3.057735039328069,8.319323394755587,0.6993703725619298,2.644534589723899,0.6744315760953665,2.65,0.135,0.8056516,15.262115,2.1015978,gaia_vari_cepheid,12.0
4093976334264606976,-5.467592116248209,0.5004273210273289,-0.07917820103091006,5.49044543304914,3.0503208600707263,7.686745316221156,-12.21214542260094,2.323140970964369,1.0442326484024076,2.73,0.123,0.84041965,12.7,2.0,melnik2015_hrv,
4095359073189127808,-6.157977797200287,0.3900435452482316,0.030419270908300874,6.170318024056905,3.07833760379779,3.8079519277434204,-6.666130052142307,2.31874701707877,1.3165561849884466,2.03,0.15,1.2135363,4.2286997,2.2003527,gaia_source_rvs,8.0
4095782655730995968,-6.1050099502288635,0.43107412877991275,0.022773741100060193,6.120210077840204,3.071099753919926,23.384984240913198,-6.4753641128397135,1.2275120629497607,0.6353779380179608,2.09,0.056,1.0123743,24.320398,1.1950002,gaia_vari_cepheid,11.0
4094784475310672128,-6.312347188314944,0.3942653618686379,-0.039151863005061634,6.324647990315112,3.0792142945730108,-22.113572165125493,7.594964815796203,2.0781938837029204,0.36857913821866173,1.88,0.184,0.94404805,-17.113,1.0,veloce_dr1_vgamma,119.0
4096341040228858240,-5.736039679936539,0.5623890110587975,-0.07770536754538021,5.763543407450504,3.043860189554285,-20.304821743804656,46.60584499087847,1.92483518986263,1.3178246020492697,2.48,0.07,0.7409211,5.969,1.0,veloce_dr1_vgamma,26.0
4096140001386430080,-6.185615865224076,0.46279260406865486,-0.08066999348036735,6.202904209037283,3.066914241053945,-34.49402606886272,5.996936559861439,1.7431863618465535,0.39729463842320795,2.02,0.119,0.8552652,-26.5,1.0,melnik2015_hrv,
4092905375639902464,-7.530139403014273,0.15118515187621767,-0.04468157892152364,7.531656947775568,3.1215180129386146,13.299916188803463,-7.570899707088614,0.951623654282625,1.0373886127663237,0.64,0.121,0.8526962,3.169,1.0,veloce_dr1_vgamma,34.0
4097663134168262912,-5.9218154278712625,0.5701323149931369,0.017785201714040463,5.949197325553552,3.0456118685875495,19.113360742257733,-15.620412671688229,2.6383909734351336,1.3163949829044999,2.3,0.064,0.9354144,21.491753,2.7268455,gaia_source_rvs,9.0
4085919765884068736,-7.347485755352601,0.2100874849652537,-0.12654966661467645,7.3504886692279445,3.1130073297714245,13.839837375809758,-5.296646545164492,0.9362624138644848,0.8976642809693725,0.84,0.115,0.8201806,7.26,1.0,veloce_dr1_vgamma,101.0
4096979650282842112,-6.692181643046133,0.3902915251769268,-0.04493386185352664,6.703552984660342,3.0833381187497837,0.4320831569379907,7.04810360165601,2.203751222290521,0.7038384772167317,1.51,0.131,1.1003364,3.1556091,2.3288589,gaia_source_rvs,9.0
4147381366335558784,-6.490322564946544,0.48112257867572605,0.08855441597227506,6.508130755659867,3.0675987666583393,-5.152097502443251,8.756969266985692,1.2386621537758689,0.2658171835833383,1.73,0.112,1.1902134,2.6,0.6,melnik2015_hrv,
4103989346187406464,-5.613532897701903,0.7635139981553223,-0.07124912424549878,5.665218903004601,3.006409095171773,12.684912296587763,-8.525550107151759,1.134540687170261,0.6422116519947532,2.65,0.055,0.8412262,24.89,1.0,veloce_dr1_vgamma,39.0
4099189015819292800,-7.044394767816469,0.35398626042183345,-0.14022200116924205,7.053283201276373,3.091384116482881,23.567059138931025,1.5424245353047468,0.99733617608875,0.5554645729721064,1.17,0.061,0.9553915,22.024,1.0,veloce_dr1_vgamma,76.0
4087335043492541696,9.641859785994452,5.7568061829237935,-3.783348633165336,11.22970514129942,0.5382577893113815,-137.86945081511843,-160.2944880856507,3.4414059023814154,14.777278754976479,19.08,0.125,1.3867104,44.263557,3.4067128,gaia_vari_cepheid,14.0
4152865318042752768,-4.043978423836214,1.3732706344596304,0.06574799372606294,4.270788419943323,2.814227028746688,-19.46230584498562,-33.98458737110013,5.4409689211466015,3.1352291868440147,4.33,0.111,0.98611003,12.418362,4.5852494,gaia_source_rvs,13.0
4104857784196182400,-6.410885122219284,0.5986768892703814,-0.046190222765326035,6.438777994933435,3.048478264084145,-15.639629263516284,-10.749084161390329,1.3738106717438554,0.964804053784828,1.84,0.107,0.79876983,-11.1,1.0,melnik2015_hrv,
4104869264724284544,-5.156670185513514,1.0400312134339122,-0.07948709901619166,5.260504949820007,2.9425759020747444,15.365632814049963,-5.158268788523401,3.4483242925699558,1.417637057220334,3.17,0.125,0.9132538,38.8,2.0,melnik2015_hrv,
