source_id,ra_deg,dec_deg,GLON_deg,GLAT_deg,Dist_kpc,e_mu_mag,ruwe,pmra,pmra_error,pmdec,pmdec_error,R_kpc,phi_rad,s_phase_kpc,d_perp_kpc,gaia_source_rv,gaia_source_rv_error,gaia_source_rv_transits,gaia_vari_rv,gaia_vari_rv_error,gaia_vari_rv_epochs,melnik_name,eU_1,eV_1,eU_2,eV_2,eU_5,eV_5,best_min_neff_sigmaRV_1,best_h_sigmaRV_1,best_neffU_sigmaRV_1,best_neffV_sigmaRV_1,passes_single_sigmaRV_1,passing_h_sigmaRV_1,best_min_neff_sigmaRV_2,best_h_sigmaRV_2,best_neffU_sigmaRV_2,best_neffV_sigmaRV_2,passes_single_sigmaRV_2,passing_h_sigmaRV_2,best_min_neff_sigmaRV_5,best_h_sigmaRV_5,best_neffU_sigmaRV_5,best_neffV_sigmaRV_5,passes_single_sigmaRV_5,passing_h_sigmaRV_5,provenance,type_best_classification,type2_best_sub_classification,mode_best_classification,pf,p1_o,main_id,otype,rvz_radvel,rvz_err,rvz_bibcode,gaia_sos_DCEP,simbad_obvious_nonclassical,known_literature_conflict,target_quality_pass
4310507179195737984,284.007464766534,9.5430325254315,41.95445,3.32576,20.15,0.133,1.1080166,-1.853122098316688,0.09245803,-3.1375700306460272,0.096029885,15.074599151155262,1.1020189755528065,-4.121974879050933,-0.1274516561149789,,,,,,,,3.601822003764161,19.44197430152649,3.9664003568891553,19.274973928664195,6.187601547910304,20.37693834358399,3.2061731131825604,10.0,3.2061731131825604,3.223360049126334,True,10.0,3.2295630867149945,10.0,3.282014926896878,3.2295630867149945,True,10.0,,,,,False,,Gaia_DR3,DCEP,,FIRST_OVERTONE,,0.9608931500637686,OGLE GD-CEP-1802,cC*,,,,True,False,False,True
4314164395446976128,287.52832862367643,13.751125089074757,47.27843,2.17914,18.02,0.114,1.089902,-1.6906348906647384,0.059762836,-3.692445965541251,0.059476037,13.840038904013582,1.272532246710601,-1.4064472565490531,-1.9293443363651777,,,,,,,,2.462583166451298,16.14533398699599,2.82391080386662,14.960155579602471,4.744137567284084,16.455230943084356,3.1622058993979283,7.0,3.585666167268891,3.1622058993979283,True,7.0,3.219788303350642,7.0,3.570759701142116,3.219788303350642,True,7.0,3.148197544615348,7.0,3.462272302021718,3.148197544615348,True,7.0,Gaia_DR3,DCEP,,FUNDAMENTAL,3.00735560963954,,OGLE GD-CEP-1469,cC*,,,,True,False,False,True
2033842562903693184,298.61331861041657,31.98443477224332,68.15844,2.0961,16.59,0.115,1.0215515,-2.1051442638093647,0.026784834,-3.399321655915708,0.03331765,15.515849664854583,1.698857013959742,5.873788935685492,-1.9042783738873392,,,,,,,,1.5623917470271178,12.80542583363354,2.157153359082764,12.594453116489548,4.386593086398299,12.924166959991933,3.202966252836034,7.0,3.4848295029305154,3.202966252836034,True,7.0,3.2147623004605967,7.0,3.463976491261985,3.2147623004605967,True,7.0,3.19643176831925,7.0,3.344498616443946,3.19643176831925,True,7.0,Gaia_DR3,DCEP,,FUNDAMENTAL,5.858810385529862,,ZTF J195427.19+315903.9,cC*,,,,True,False,False,True
1978690990909022336,323.6657258926437,49.05387013682727,93.17083,-2.10559,15.43,0.118,1.0405674,-2.0949902373351463,0.024920953,-1.9075451558783425,0.024002282,17.835218913740142,2.099950146015323,13.41499047438571,-1.3100107744358716,,,,,,,,2.141991629586834,8.317551658347865,2.574107005063328,8.392776010189568,4.680726624787733,8.128392573247362,3.2117807641692804,7.0,3.2117807641692804,3.230829177591288,True,7.0;10.0,3.195882791332671,7.0,3.195882791332671,3.2258448174080927,True,7.0;10.0,3.101125237526427,7.0,3.101125237526427,3.243487125464989,True,7.0;10.0,Gaia_DR3,DCEP,,FIRST_OVERTONE,,1.4958333995581758,ASASSN-V J213439.62+490311.3,cC*,,,,True,False,False,True
1871915630021420672,316.34203913487227,38.02263657027089,81.57429,-6.0798,17.41,0.113,0.9654541,-1.6434166649771464,0.023409443,-2.2379762072270384,0.023110775,18.02210501615291,1.887605803513233,9.334988515462278,-0.2273158299341439,,,,,,,,1.5433115242749986,8.504022764210566,2.2077104563425665,8.331478278049676,4.79773001016749,8.313015744772692,3.214340049003296,7.0,3.4046952202927945,3.214340049003296,True,7.0;10.0,3.186693448299789,7.0,3.450136079570941,3.186693448299789,True,7.0;10.0,3.1836934384586786,7.0,3.646693904834,3.1836934384586786,True,7.0;10.0,Gaia_DR3,DCEP,,FIRST_OVERTONE,,0.9820063469661208,ATO J316.3420+38.0226,cC*,,,,True,False,False,True
4512885247948565376,287.4700590360718,16.183932067339214,49.4157,3.34727,18.71,0.111,0.95336115,-1.847325443752489,0.03152914,-3.5183764565338405,0.02918802,14.738800014462026,1.2958107050142371,-1.027293880191791,-1.1376718318471015,,,,,,,,1.5076903910968047,13.320696334051902,2.1029836055631903,14.805958769521077,4.875440998409296,15.077399393866632,3.252469207396808,10.0,3.8311901698862623,3.252469207396808,True,7.0;10.0,3.182429035020072,10.0,3.8939281163999055,3.182429035020072,True,7.0;10.0,3.488832568873404,7.0,3.488832568873404,3.61485633537838,True,7.0;10.0,Gaia_DR3,DCEP,,FIRST_OVERTONE,,2.130000389446258,ATO J287.4700+16.1839,cC*,,,,True,False,False,True
2031982665929461504,296.05399031447047,29.68729545258683,65.0624,2.82878,16.76,0.115,1.0614809,-2.070516441916848,0.032901507,-3.4608791272557715,0.04418807,15.218091593025418,1.642582119431146,4.870920701590028,-1.9729014824462623,,,,,,,,1.8174384751402088,13.803233271989384,2.4178077854610613,13.035513862743988,4.736589187353577,14.05421621694376,3.1404683760792467,7.0,3.465174741692812,3.1404683760792467,True,7.0,3.1799448359271274,7.0,3.4415078036451976,3.1799448359271274,True,7.0,3.1282512543683287,7.0,3.3112915825403286,3.1282512543683287,True,7.0,Gaia_DR3,DCEP,,FUNDAMENTAL,1.644051956892095,,ZTF J194412.95+294114.4,cC*,,,,True,False,False,True
4320165285017783168,288.05334573408885,13.963392583145598,47.70217,1.82481,18.12,0.14,1.0149734,-1.7641710582019745,0.09785497,-3.3631780391768,0.100809254,13.991343268638351,1.2779729012198755,-1.3180151471644346,-1.8014991684102388,,,,,,,,3.7770646900228,17.927426173180127,4.101604921806582,18.21434870143633,5.95574414365895,18.898811034804723,3.1898874617850663,7.0,3.62664177620961,3.1898874617850663,True,7.0,3.177430768148063,7.0,3.611469856144798,3.177430768148063,True,7.0,3.148976661146961,7.0,3.4989628875126204,3.148976661146961,True,7.0,Gaia_DR3,DCEP,,FUNDAMENTAL,2.7839220381422853,,OGLE GD-CEP-1485,cC*,,,,True,False,False,True
2021540814501736320,293.71911711786413,25.617968013135847,60.49699,2.6342,17.11,0.137,1.0079433,-2.035926193584176,0.054059472,-3.223407691129324,0.06701237,14.87801037063037,1.5527965328798257,3.2978077202738225,-1.9568631258050333,,,,,,,,2.767513960444155,15.027635688566509,2.802345496206278,14.83371754525274,5.23393863137323,14.714599164345994,3.1513188743655505,7.0,3.505856962335556,3.1513188743655505,True,7.0,3.160620228439517,7.0,3.5041946431769584,3.160620228439517,True,7.0,3.1664257209863864,7.0,3.3575759521979087,3.1664257209863864,True,7.0,Gaia_DR3,DCEP,,FUNDAMENTAL,1.6932377060953965,,ZTF J193452.58+253704.7,cC*,,,,True,False,False,True
1979638838645769216,327.16408791205106,49.39734159183344,95.1221,-3.34584,15.32,0.114,1.0453172,-1.7787571652190832,0.02238867,-1.7239811864711707,0.019729203,17.960873188825794,2.129182804978169,13.992623423361778,-1.315140694185721,-122.536804,7.21208,23.0,,,,,2.0625810357795524,6.301463536042676,2.51179909864818,6.567684946148817,4.682753098521727,6.899847392084552,3.145304482222681,7.0,3.145304482222681,3.2879817893460164,True,7.0;10.0,3.130740241824286,7.0,3.130740241824286,3.2694866106826304,True,7.0;10.0,3.1011262886619213,10.0,4.253234854048193,3.1011262886619213,True,7.0;10.0,Gaia_DR3,DCEP,,FIRST_OVERTONE,,1.5010406518162192,ZTF J214839.38+492350.5,cC*,-122.54,7.21,2022yCat.1355....0G,True,False,False,True
