scenario,zcut_kpc,hnu_kpc,decomposition,predictor,rho_detrended_rank,p_perm,p_maxT
z1.5_hnu2.0,1.5,2.0,mcmillan17,guide_history_distance_time_median,0.006993006993007027,0.976151192440378,1.0
z1.5_hnu2.0,1.5,2.0,mcmillan17,age_median_gyr,-0.04895104895104894,0.8789560521973901,1.0
z1.5_hnu2.0,1.5,2.0,mcgaugh2019,Rbirth_median_kpc,0.3006993006993008,0.336183190840458,0.8048597570121494
z1.5_hnu2.0,1.5,2.0,mcgaugh2019,deltaR_guide_median_kpc,-0.3706293706293707,0.23643817809109544,0.6526173691315434
z1.5_hnu2.0,1.5,2.0,mcgaugh2019,abs_deltaR_guide_median_kpc,-0.2517482517482518,0.4279786010699465,0.8942552872356382
z1.5_hnu2.0,1.5,2.0,mcgaugh2019,outward_guide_fraction_gt1,-0.5454545454545455,0.07104644767761611,0.27098645067746613
z1.5_hnu2.0,1.5,2.0,mcgaugh2019,inward_guide_fraction_gt1,0.47552447552447563,0.11909404529773511,0.40647967601619917
z1.5_hnu2.0,1.5,2.0,mcgaugh2019,inner_born_fraction_lt6,-0.27972027972027985,0.36773161341932903,0.8380580970951452
z1.5_hnu2.0,1.5,2.0,mcgaugh2019,guide_history_distance_time_median,-0.13986013986013993,0.6545172741362932,0.9893505324733763
z1.5_hnu2.0,1.5,2.0,mcgaugh2019,age_median_gyr,0.24475524475524482,0.43227838608069596,0.8986550672466377
z1.5_hnu2.5,1.5,2.5,mcmillan17,Rbirth_median_kpc,-0.26573426573426573,0.40457977101144943,0.8701564921753913
z1.5_hnu2.5,1.5,2.5,mcmillan17,deltaR_guide_median_kpc,0.32867132867132876,0.2922353882305885,0.7474126293685316
z1.5_hnu2.5,1.5,2.5,mcmillan17,abs_deltaR_guide_median_kpc,0.17482517482517476,0.5890205489725514,0.976051197440128
z1.5_hnu2.5,1.5,2.5,mcmillan17,outward_guide_fraction_gt1,0.1328671328671329,0.6765161741912904,0.9938503074846258
z1.5_hnu2.5,1.5,2.5,mcmillan17,inward_guide_fraction_gt1,-0.04895104895104896,0.8773061346932653,1.0
z1.5_hnu2.5,1.5,2.5,mcmillan17,inner_born_fraction_lt6,0.034965034965034954,0.9163541822908855,1.0
z1.5_hnu2.5,1.5,2.5,mcmillan17,guide_history_distance_time_median,0.17482517482517482,0.5870206489675516,0.975751212439378
z1.5_hnu2.5,1.5,2.5,mcmillan17,age_median_gyr,0.03496503496503494,0.9162041897905104,1.0
z1.5_hnu2.5,1.5,2.5,mcgaugh2019,Rbirth_median_kpc,0.22377622377622383,0.4843257837108145,0.9290035498225089
z1.5_hnu2.5,1.5,2.5,mcgaugh2019,deltaR_guide_median_kpc,-0.2867132867132867,0.36823158842057896,0.8343582820858957
z1.5_hnu2.5,1.5,2.5,mcgaugh2019,abs_deltaR_guide_median_kpc,-0.16083916083916086,0.6113194340282986,0.9834008299585021
z1.5_hnu2.5,1.5,2.5,mcgaugh2019,outward_guide_fraction_gt1,-0.5314685314685316,0.08114594270286486,0.3071346432678366
z1.5_hnu2.5,1.5,2.5,mcgaugh2019,inward_guide_fraction_gt1,0.48951048951048953,0.11154442277886106,0.39403029848507576
z1.5_hnu2.5,1.5,2.5,mcgaugh2019,inner_born_fraction_lt6,-0.2937062937062938,0.3498325083745813,0.8141592920353983
z1.5_hnu2.5,1.5,2.5,mcgaugh2019,guide_history_distance_time_median,-0.0069930069930069965,0.9843507824608769,1.0
z1.5_hnu2.5,1.5,2.5,mcgaugh2019,age_median_gyr,0.3216783216783217,0.3106344682765862,0.7652617369131544
z1.5_hnu3.0,1.5,3.0,mcmillan17,Rbirth_median_kpc,-0.22377622377622372,0.48592570371481425,0.9339533023348833
z1.5_hnu3.0,1.5,3.0,mcmillan17,deltaR_guide_median_kpc,0.29370629370629375,0.35548222588870554,0.8194090295485226
z1.5_hnu3.0,1.5,3.0,mcmillan17,abs_deltaR_guide_median_kpc,0.15384615384615385,0.6330683465826709,0.9864506774661267
z1.5_hnu3.0,1.5,3.0,mcmillan17,outward_guide_fraction_gt1,0.06993006993006996,0.8262086895655217,0.9998000099995
z1.5_hnu3.0,1.5,3.0,mcmillan17,inward_guide_fraction_gt1,-2.3129646346357427e-18,0.9989000549972501,1.0
z1.5_hnu3.0,1.5,3.0,mcmillan17,inner_born_fraction_lt6,-0.027972027972027996,0.9222038898055097,1.0
z1.5_hnu3.0,1.5,3.0,mcmillan17,guide_history_distance_time_median,0.2167832167832168,0.4965751712414379,0.9405529723513825
z1.5_hnu3.0,1.5,3.0,mcmillan17,age_median_gyr,0.07692307692307689,0.8168091595420229,0.99970001499925
z1.5_hnu3.0,1.5,3.0,mcgaugh2019,Rbirth_median_kpc,0.20279720279720284,0.5258737063146842,0.9538023098845058
z1.5_hnu3.0,1.5,3.0,mcgaugh2019,deltaR_guide_median_kpc,-0.2867132867132867,0.36493175341232936,0.8372081395930203
z1.5_hnu3.0,1.5,3.0,mcgaugh2019,abs_deltaR_guide_median_kpc,-0.16083916083916092,0.6105194740262987,0.9821508924553772
z1.5_hnu3.0,1.5,3.0,mcgaugh2019,outward_guide_fraction_gt1,-0.5944055944055946,0.0463976801159942,0.19249037548122594
z1.5_hnu3.0,1.5,3.0,mcgaugh2019,inward_guide_fraction_gt1,0.5594405594405595,0.06744662766861657,0.2555372231388431
