pulsar,x_pc,y_pc,z_pc,aGal_1e10_m_s2,aGal_err_1e10_m_s2,model_outlier_ge3sigma,modified_catalog_excluded,source,doi,sun_R_kpc,sun_z_kpc,distance_from_assumed_sun_kpc,a_moran_linear_pred_1e10,a_mcmillan_baryon_pred_1e10,a_mcmillan_total_pred_1e10,resid_moran_linear_1e10,resid_baryon_1e10,resid_total_1e10,zresid_baryon,zresid_total
J1600-3053,6838.9,-365.4,411.2,0.708,0.242,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.3960473523487662,0.375141272263352,0.054337705385795076,0.07606429205336739,0.332858727736648,0.6536622946142049,0.6319357079466326,2.701083862042169,2.61130457829187
J1603-7202,7749.3,-352.4,-112.8,0.815,0.252,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,0.5251808164813334,0.08619198127471762,-0.029001598641574665,-0.049240650749050534,0.7288080187252823,0.8440015986415746,0.8642406507490504,3.3492126930221215,3.429526391861311
J1614-2230,7479.1,-83.0,257.3,0.984,0.653,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,0.6974329358440128,0.1646791411722021,-0.02148158105220933,-0.007887068868587728,0.8193208588277979,1.0054815810522093,0.9918870688685877,1.5397880261136436,1.5189694775935492
J1640+2224,7480.8,556.8,688.1,0.833,0.448,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.0929983028349126,-0.15653594791156994,-0.380588184769609,-0.4582513065452189,0.98953594791157,1.213588184769609,1.291251306545219,2.7089021981464487,2.8822573806812923
J1713+0747,7081.5,570.0,576.4,-0.275,0.052,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.3190061447923582,0.14379298098710316,-0.18514718163855776,-0.22035853247511827,-0.41879298098710316,-0.08985281836144227,-0.05464146752488175,-1.7279388146431205,-1.0507974524015722
J1738+0333,6653.6,770.9,547.3,0.062,1.03,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.746431407184376,0.3614463945181203,-0.06192835556255249,-0.08838262345622742,-0.2994463945181203,0.1239283555625525,0.15038262345622744,0.12031879180830339,0.146002547044881
J1741+1351,6799.8,1027.4,681.2,67.5,18.8,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.807704909546909,0.19747669971725335,-0.24571522407169938,-0.33344086735262546,67.30252330028274,67.7457152240717,67.83344086735262,3.6034954906421115,3.6081617482634374
J1909-3744,7049.0,-5.0,-364.3,0.246,0.101,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.1331674589397627,0.3142679082341441,0.0470579677149686,0.07760024253800114,-0.06826790823414408,0.1989420322850314,0.16839975746199887,1.9697230919310038,1.6673243313069193
J1933-6211,7173.3,-454.6,-556.6,-1.27,0.425,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.1901665471689242,0.11271520563160264,-0.1885849426366274,-0.2158788229527428,-1.3827152056316026,-1.0814150573633725,-1.0541211770472572,-2.5445060173255825,-2.4802851224641347
J2043+1711,7396.6,1361.5,-403.6,323.0,194.0,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.5946097861232382,0.057189502531343334,-0.29310937708159784,-0.4469631152608061,322.94281049746866,323.2931093770816,323.4469631152608,1.6664593266859875,1.6672523871920661
J2129-5721,7720.0,-162.8,-393.8,7.14,0.7,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,0.5858210306911148,-0.07771886909947105,-0.2654862957840164,-0.2916012128756098,7.217718869099471,7.405486295784016,7.431601212875609,10.57926613683431,10.616573161250871
J2145-0750,7813.8,340.8,-395.5,-0.117,0.105,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,0.6062607772237947,-0.11950163052236568,-0.2949616710212856,-0.3426522548681912,0.0025016305223656693,0.17796167102128563,0.22565225486819118,1.6948730573455775,2.1490690939827735
J2222-0137,8035.2,164.2,-172.5,-0.294,0.125,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,0.2534800386618245,-0.07058157910362693,-0.18776341074690486,-0.21224264203572665,-0.22341842089637304,-0.10623658925309512,-0.08175735796427333,-0.849892714024761,-0.6540588637141866
J2234+0611,7920.4,664.3,-627.7,-1.71,2.72,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,0.9359189815363294,-0.2777532133959711,-0.4095238144997308,-0.5128202574994208,-1.432246786604029,-1.300476185500269,-1.197179742500579,-0.47811624466921654,-0.44013961121344813
J2339-0533,8025.1,657.9,-1256.5,23.2,15.7,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.122,0.0,1.4216238145163438,-0.7748130102018184,-0.553370400601022,-0.7134751787630534,23.974813010201817,23.75337040060102,23.913475178763054,1.512953528700702,1.523151285271532
