CNAME,GaiaEDR3,Rbirth,rguidmean,b_Rbirth,B_Rbirth,s_Rbirth,migration_delta_r_kpc
 , ,kpc,kpc,kpc,kpc,kpc,
----------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,
02093912-5004460,4937789454851593216, 1.5888223064059199, 8.1713460306946164, 1.3319310099775623, 1.9491826683382336, 0.3131409769524981,6.582523724288697
02095815-0340302,2493112967823491200, 2.9050935324673954, 6.4530293403560854, 2.3162356961129000, 3.4181938953542681, 0.5932463709372034,3.547935807888689
02100123-0320092,2493878812031986048, 5.1080923117106796, 6.6225704523445970, 4.3861937963396844, 5.6787338813658010, 0.5813436290021934,1.5144781406339174
02102957-0330275,2493122073154150784,23.2395687122259602, 7.0310562776588350,20.5535995770862208,27.2231089744994783, 3.2482968703913588,-16.208512434567126
02184192-4701361,4940185977883268352, 3.1271353629948400, 8.7650715582606686, 2.6609127917072848, 5.0423208830413717, 1.5901823125195689,5.637936195265828
02185019-4657175,4940188451784458752,19.3619207092447496, 8.8591727933572439,12.4584026785249407,28.3700157875379766,13.2341234076518806,-10.502747915887506
02190407-4703298,4940175223285181312, 5.0915315175242455, 5.5846173570147144, 4.1391583519401038, 6.9945118739251830, 1.6050689957035436,0.493085839490468
02190703-0057227,2494641495144409600,16.1419748675653025, 9.4201342886202966,14.4307042560992809,18.1270230795208107, 1.8237337330608070,-6.721840578945006
02191575-5356051,4743266812602819712, 4.9264189558969598, 7.1723600395230891, 4.5856619753481818, 5.2549701754119882, 0.3991498414399015,2.2459410836261293
02193508-0052549,2500647336893042176, 3.6649584695834738, 7.0243146140244059, 3.0255272749219762, 4.3015610392687691, 0.6182672676575506,3.359356144440932
02200774-0058360,2500641942414144640,18.0125437192266489,10.0320840470296915,15.7658486071555206,19.7983862778895592, 2.2452311103677665,-7.980459672196957
02203040-5357179,4743252656390630016, 3.8738683426302352, 9.2139314013538964, 2.6663316061229958, 4.5263302951813973, 0.9622940247650992,5.340063058723661
02204929-0450084,2489504233222129408, 2.7605455278697950, 8.2660320613943856, 2.3997608864115092, 3.1390873975683085, 0.4320130315977515,5.505486533524591
02293252-0324475,2490177168698035968, 3.3716417214946102, 8.9664315658899767, 2.6603744146336159, 4.2311239446637279, 0.7923735114215342,5.5947898443953665
02294307-0328342,2490129717899377792,12.7344153408292495,10.4099339962502295,11.1988613292129529,14.7428505010209765, 1.8592025079233627,-2.32448134457902
02294910-5008015,4746521023423892736, 3.0904928775151599, 8.0683245261295635, 2.8052326528633307, 4.9353380703986405, 1.0495776093387297,4.977831648614403
02302551-4955092,4746541742346163840, 2.6604523531182651, 8.4101312994272455, 2.5646208561832124, 2.7891623476806342, 0.4198378910958946,5.749678946308981
02390301-0103520,2496923905189480704, 3.9577531418423999, 8.0317811498273759, 2.6744340170006242, 5.0209739680672847, 1.1139393258258945,4.074028007984976
02391506-4225173,4947127916344096384,13.9229594018488498, 7.8534797836737660,11.4383492328877914,16.7290970261253555, 2.5954743430500482,-6.069479618175082
02391814-0057427,2496948373618710400, 9.0042535344359962, 8.4387370550609209, 8.4116226036626607, 9.6895442952615447, 0.6552246169531284,-0.5655164793750753
02393782-4230367,4947114756564345728, 3.5215399160641701, 7.9968051161533449, 2.4945127798267035, 4.6201301443087095, 0.9776966829408990,4.475265200089176
02394084-5555181,4740401794538706688, 3.7643984056498301, 7.9376281838993874, 3.1632036853445160, 3.9089478669709119, 0.4223183180553089,4.173229778249556
02394137-4234344,4947111320590464512, 2.9957773361736750, 6.9821069750207911, 2.6016948097931798, 3.8003109079647248, 0.6116714272038269,3.986329638847116
02401248-5554158,4740402000697157248, 2.7803764934270401, 9.8619560188378621, 2.6655381508263365, 4.4800630643005803, 0.9699150948908144,7.081579525410822
02402221-3649372,4953651421910428416, 4.6649233230312204, 7.5434001099530947, 4.2668767337995064, 5.4205700803369430, 0.6618506934365415,2.8784767869218744
02402667-5557576,4740353965782928512, 4.7530345008310242, 4.9382946931598699, 4.1481690100060344, 5.7456409468645013, 0.7462732341234539,0.18526019232884572
02503287-5004543,4751452504873024256, 9.8210279524383033, 8.5897648071734718, 8.0740079535872766,10.9800181581678640, 1.4144901189801713,-1.2312631452648315
02504184-5005028,4751452264354856192, 2.7465851372031898, 7.9803424253644719, 2.3569153143334147, 3.3144923692742765, 0.4683444150267304,5.233757288161282
02504682-5006544,4751449240697880448, 2.9673849883557502, 6.2234609884452183, 2.4182104433017582, 3.6520160994064801, 0.6265307535090744,3.256076000089467
02514404-5008560,4748447299076600832, 7.9340830777853100, 9.1060994183502704, 7.0378920684995885, 9.1821299432300183, 1.1648520510547600,1.1720163405649604
02553459-5356553,4740869155699580416, 5.1005052063517997, 6.9393080764837860, 4.4898090283025107, 5.5044880615139142, 0.5505195277469926,1.8388028701319863
02554577-0022152,2497878384361605632, 5.4810640043940797, 8.5050447196764321, 2.6524513482294947, 8.8185728445089566, 2.8808234123089189,3.0239807152823523
02555100-0025430,2497877151706573568, 8.9378264754092100, 7.9579781303401376, 7.3205470548399889,11.9220076164444553, 3.6445761130350327,-0.9798483450690725
02555980-0033140,2497859314706813440,11.8844540229487006, 8.7957394767582020, 8.2141601524602628,17.5639268443574998, 5.2393455815824161,-3.0887145461904986
02562607-5408009,4740851632233016448, 2.7843610136802299, 8.0101195104832303, 2.6729720215681105, 4.0750294308824015, 0.6204795716584648,5.225758496803001
02592229-3701360,5046054344749496704, 3.1160892034597798, 8.0712146523745325, 2.8717488920467540, 3.4448204835724474, 0.4880587098568315,4.955125448914751
02594339-4653494,4753676645097237376, 2.7781048079961401, 9.9384200631151636, 2.6427712881412688, 4.2161333622828403, 0.7080965384189293,7.160315255119025
03001901-3653054,5046149967901341696, 2.7650248532163348, 8.9621249394256051, 2.6292080840377960, 3.1205639016012361, 0.5426849561743202,6.19710008620927
03004376-4228319,4755721599286033408, 2.7656028752636299, 9.2542116549140303, 2.6264569110887472, 3.5031099032914490, 0.6059240116338306,6.4886087796504
03085599-5003056,4749351063274393344, 3.7302206560875151, 7.3403351677192390, 2.9703795735022607, 4.6597724712404389, 0.7436954867707681,3.610114511631723
03102908-5011104,4749334604959703424, 2.9380778520202502, 7.6745339406693258, 2.7591081911338451, 3.9721211390183941, 0.7375216754877117,4.736456088649074
03180896-0029275,3265736249608658432,18.4046548280095479,10.5324737477123200,13.6647234021613073,28.7038189759090834, 7.9255886171271257,-7.872181080297228
