name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,phi_rad,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G011.10-00.11,ScN,272.61769583333336,-19.37506,0.246,0.014,-4.16114099291274,0.7832354717448213,-0.005284809191752731,4.234212107003871,2.955543325522891,-7.057937813219012,-8.92397939725518,-7.2601545998738475,6.470173610157433,6.9095440121201435,7.865983931030363
G011.49-01.48,SgN,274.0922195833333,-19.690894166666666,0.8,0.033,-6.9255144044705,0.2490695076841809,-0.02772576635152799,6.929991730600148,3.105644102594521,-0.5969238566365557,10.105930589213699,-1.4382335305580207,3.0122127025812215,3.5308359048560414,3.227558263815046
G011.91-00.61,ScN,273.49216874999996,-18.905632777777775,0.297,0.05,-4.855782899464178,0.6952659492042602,-0.03274728521789084,4.905305526351202,2.9993761956056213,2.524082756002875,8.805504405321727,-12.306148831315934,15.132027348948588,11.817355561309979,11.760401933307811
G012.68-00.18,ScN,273.4781070833333,-18.029607777777777,0.416,0.028,-5.804801564965922,0.5276781228638626,-0.0037268572086001693,5.828736176048797,3.050938081872591,41.0920196834864,-8.014511178397612,1.8898094459216985,10.735609318155,10.676093452385688,10.792986846614642
G012.81-00.19,ScN,273.55858333333333,-17.919805555555556,0.343,0.037,-5.307174732590934,0.6465851001415294,-0.006437803738355401,5.346417111858809,3.0203578694216353,1.9961185410611477,13.46268933998212,10.718237383124807,8.181274326619755,9.457488421471124,10.163771408058391
G012.88+00.48,ScN,272.9643541666667,-17.524836666666666,0.404,0.044,-5.737189006096013,0.5521067948543522,0.025005360494114,5.763693226100198,3.0456550981638015,14.60836460906427,-4.101746595639668,-6.755128443722675,7.792012014736719,5.837738581096534,6.205859410401316
G012.90-00.24,ScN,273.6434858333334,-17.86441416666667,0.408,0.025,-5.760914631607324,0.5472132264408164,-0.006438908632329214,5.786845402104597,3.046889580030448,16.337397130963627,-5.651328846671788,-8.440487375328685,5.308113553196051,4.6357350749624775,4.414739150325531
G012.90-00.26,ScN,273.6648808333333,-17.86677277777778,0.396,0.032,-5.6885976533983476,0.5641234910422003,-0.007638765922245609,5.716500553257633,3.042748416238475,16.59990528695998,-5.754137635941504,-1.4333782174221392,5.221818572358587,5.170436888215758,5.015882085874445
G013.71-00.08,Nor,273.90408916666667,-17.075585555555556,0.264,0.014,-4.470095688019291,0.8979307278568792,-0.0025020520442302118,4.559389767510368,2.9433558341720008,4.795479883522517,-5.41035768386692,-6.3759025764233686,5.998812602285647,4.976842247855675,5.070118532650813
G014.33-00.64,SgN,274.72781000000003,-16.797295555555557,0.893,0.101,-7.065105133652153,0.27717863155363587,-0.007836050897607475,7.0705401875208915,3.1023807026595565,11.297484384205605,3.6825035257171805,-2.9686450279282544,5.382956905131164,6.663287431774479,7.910923208360174
G014.63-00.57,SgN,274.81475291666663,-16.496051666666666,0.546,0.022,-6.378034750393198,0.46277465411761143,-0.014103811117397617,6.394801612068735,3.069162019381788,2.3918794841810618,-2.6391379759342897,-2.635149331594596,5.582555961958034,9.988033838701037,9.875658553014341
G015.03-00.67,SgN,275.10337958333326,-16.193143333333335,0.499,0.026,-6.214738445316558,0.5198015768581321,-0.019486936670616687,6.236438697125137,3.0581467413682564,0.550364274117022,4.319760372920825,-4.559094273431992,3.7996763877327,4.863511502027029,4.987670184294237
G016.58-00.05,ScN,275.28785,-14.530154444444445,0.279,0.023,-4.714888402484313,1.023079376455252,2.4869064835060344e-05,4.824610249378611,2.927916059363998,21.214615020459284,-7.797025772439895,3.7401826441293773,6.656572544180257,5.875843462715375,5.746366914502174
G017.55-00.12,SgN,275.8246183333333,-13.71309611111111,0.497,0.038,-6.231597278555153,0.6067461101133391,-0.00022352797288175286,6.2610658425090575,3.0445325311815323,20.545265554373866,5.598799256251056,-1.1388288912390643,10.365235044894646,9.088086999612834,9.593524609358985
G017.63+00.15,SgN,275.60992541666667,-13.503319722222223,0.669,0.019,-6.7255040881172725,0.452922984685642,0.008623702221746434,6.740737679908535,3.074350089604859,7.625166925985678,3.8490901090194143,4.155228019546471,9.213059475904405,10.046832383109619,9.914258321156266
G018.34+01.76,SgN,274.4921891666667,-12.123581388888889,0.5,0.019,-6.252463072092591,0.629053676672416,0.06593278990038995,6.284027609425073,3.041321127483544,5.417500783819871,-1.368071336787608,1.7412313129114552,4.033902942618737,6.683722464394587,5.157540691581047
