NAME,GL,GB,DIST,DIST_ERR,PX,PX_ERR,accel_source,has_binary_orbital_accel,has_spin_inferred_accel,ALOS_PB,ALOS_PB_ERR,ALOS_PS,ALOS_PS_ERR,ALOS_USE_mm_s_yr,ALOS_USE_ERR_mm_s_yr,aGal_1e10_m_s2,aGal_err_1e10_m_s2,x_moranlike_kpc,y_moranlike_kpc,z_moranlike_kpc,X_mwm_kpc,Y_mwm_kpc,Z_mwm_kpc,R_gal_kpc,phi_mwm_deg,duplicate_sky_location,sky_key,BSURF,CHAR_AGE,canon,present_in_moran_discovery_catalog,keep_independent_position,a_baryon_pred_1e10,resid_baryon_1e10,zresid_baryon
J0931-1902,250.999,23.054,1.429,1.429,0.7,0.7,spin_inferred,0,1,,,-2.462616333,0.9157356516,-2.462616333,0.9157356516,-0.7803560261236596,0.2901791174233782,8.638103000111531,-1.2432309009425566,0.5595942710902833,-8.638103000111531,-1.2432309009425566,0.5595942710902833,8.727109860291337,188.1900009397745,0,250.999|23.054|1.429,123850593.6,7.18e+17,J0931-1902,0,True,-0.23456413877138665,-0.5457918873522729,-1.8808792727698238
J1012+5307,160.347,50.858,1.111,0.099,0.9,0.08,binary_orbital,1,1,-4.641502774,6.078491572,-2.55519319,1.565562574,-4.641502774,6.078491572,-1.4708034749157095,1.9261577471037088,8.870458908296943,0.2358674709062825,0.8616737007820804,-8.870458908296943,0.2358674709062825,0.8616737007820804,8.873594238391584,178.47685141560294,0,160.347|50.858|1.111,204699759.6,3.38e+17,J1012+5307,1,True,-0.2013820644073225,-1.269421410508387,-0.6590433272753327
J1012-4235,274.218,11.225,1.25,0.781,0.8,0.5,spin_inferred,0,1,,,2.353404835,1.019036266,2.353404835,1.019036266,0.7457489907344031,0.3229131068268816,8.119819385480428,-1.2227669313752778,0.2433279439356655,-8.119819385480428,-1.2227669313752778,0.2433279439356655,8.211371738101294,188.5638463676262,0,274.218|11.225|1.25,139596943.3,2.53e+17,J1012-4235,0,True,-0.23845449087587067,0.9842034816102738,3.0478895430463884
J1017-7156,291.558,-12.553,1.4,0.6,0.6,0.6,binary_orbital,1,1,3.441376858,3.644175716,4.144113802,1.580052806,3.441376858,3.644175716,1.0905065207747102,1.1547696009835982,7.707876968160315,-1.2709391588280732,-0.3042796665134096,-7.707876968160315,-1.2709391588280732,-0.3042796665134096,7.811955817958705,189.36315777064897,0,291.558|-12.553|1.4,54577800.26,9.4e+17,J1017-7156,1,True,-0.25708845257084145,1.3475949733455517,1.1669816837901783
J1022+1001,231.795,51.101,0.725,0.015,1.16,0.08,binary_orbital,1,0,-6.536207071,2.411477804,,,-6.536207071,2.411477804,-2.071199036365249,0.7641512041473368,8.49156990997492,-0.3577472865854777,0.5642342286120574,-8.49156990997492,-0.3577472865854777,0.5642342286120574,8.49910246185153,182.41242735316257,0,231.795|51.101|0.725,628287843.2,3.51e+17,J1022+1001,1,True,-0.2961021198403887,-1.7750969165248605,-2.3229655425401936
J1125-6014,292.504,0.894,0.833,0.208,1.2,0.3,binary_orbital,1,1,3.137383925,1.878949458,9.508125082,1.534281862,3.137383925,1.878949458,0.994176973217228,0.595403154232261,7.891209784446483,-0.7694757157457052,0.0129969744546898,-7.891209784446483,-0.7694757157457052,0.0129969744546898,7.928637003878174,185.56933232786204,0,292.504|0.894|0.833,40127057.39,2.2e+18,J1125-6014,1,True,-0.09496673960821936,1.0891437128254473,1.8292541869883727
J1400-1431,326.986,45.087,0.278,0.085,3.6,1.1,spin_inferred,0,1,,,4.711417624,7.954031187,4.711417624,7.954031187,1.4929581539787562,2.520480387291809,8.045414406807836,-0.1069403191103372,0.1968739461233071,-8.045414406807836,-0.1069403191103372,0.1968739461233071,8.046125105236838,180.76153543141203,0,326.986|45.087|0.278,25791012.04,7.32e+18,J1400-1431,0,True,-0.1883311768294254,1.6812893308081815,0.66705114599788
J1455-3330,330.722,22.562,0.769,0.059,1.3,0.1,binary_orbital,1,0,5.305778146,3.161666155,,,5.305778146,3.161666155,1.6812996381220369,1.0018715475828326,7.590571406155592,-0.3472944381907917,0.2950521823842038,-7.590571406155592,-0.3472944381907917,0.2950521823842038,7.598512202974024,182.619649681869,0,330.722|22.562|0.769,436754994.6,1.71e+17,J1455-3330,1,True,-0.08680929197538749,1.7681089300974244,1.7648060116721112
J1518+4904,80.808,54.282,0.806,0.026,1.24,0.04,binary_orbital,1,0,1.701941734,2.790869102,,,1.701941734,2.790869102,0.5393127912135269,0.884373051816361,8.134834389627501,0.4644974228069695,0.6543915305251231,-8.134834389627501,0.4644974228069695,0.6543915305251231,8.14808495307091,176.73197100313337,0,80.808|54.282|0.806,944810161.1,9.61e+17,J1518+4904,0,True,-0.42549924209055406,0.964812033304081,1.0909559391509174
J1600-3053,344.09,16.451,1.87,0.03,0.51,0.11,binary_orbital,1,1,1.717378235,0.7634160992,2.344191802,0.6394692084,1.717378235,0.7634160992,0.5442043232058205,0.2419119639009303,6.485254234003486,-0.4916322229853422,0.5295751127078999,-6.485254234003486,-0.4916322229853422,0.5295751127078999,6.50386229269483,184.335169628472,0,344.09|16.451|1.87,181143540.5,2.02e+17,J1600-3053,1,True,0.09429231562040122,0.44991200758541927,1.859817101768769
J1603-7202,316.63,-14.496,2.7,1.3,0.3,0.3,binary_orbital,1,0,-0.4370652143,1.926577956,,,-0.4370652143,1.926577956,-0.1384976089119578,0.610495714503004,6.309760355790841,-1.7950835172954214,-0.6758435177688298,-6.309760355790841,-1.7950835172954214,-0.6758435177688298,6.5601372380138105,195.8806888914095,0,316.63|-14.496|2.7,356859860.7,8.86e+17,J1603-7202,1,True,-0.2951508733370609,0.1566532644251031,0.2566001049698315
J1614-2230,352.636,20.192,0.649,0.042,1.54,0.1,binary_orbital,1,1,1.098115326,1.463337413,0.7221042503,1.318512354,1.098115326,1.463337413,0.3479717488021903,0.4637036444469795,7.60591077646005,-0.07807156015816,0.2240134850792916,-7.60591077646005,-0.07807156015816,0.2240134850792916,7.606311452207084,180.58809706529337,0,352.636|20.192|0.649,119022325.6,3.59e+17,J1614-2230,1,True,-0.0034688670205260514,0.35144061582271635,0.7578991884824415
J1640+2224,41.051,38.271,1.08,0.28,0.8,0.2,binary_orbital,1,1,2.626548873,1.461288186,1.214875907,1.013472234,2.626548873,1.461288186,0.8323031133546277,0.4630542835957106,7.570579285771664,0.5568399716480416,0.6689322807211006,-7.570579285771664,0.5568399716480416,0.6689322807211006,7.591030330342515,175.79329007948525,0,41.051|38.271|1.08,70570110.38,1.03e+18,J1640+2224,1,True,-0.35947428581164687,1.1917773991662746,2.5737315070533002
J1713+0747,28.751,25.223,1.136,0.013,0.88,0.01,binary_orbital,1,1,-0.6078783338,0.1183714051,-1.095888927,0.5214687818,-0.6078783338,0.1183714051,-0.192625020217,0.0375096347947879,7.309005934642807,0.4943227294481336,0.484097855130616,-7.309005934642807,0.4943227294481336,0.484097855130616,7.325702881873712,176.13086360433988,0,28.751|25.223|1.136,193836247.0,2.85e+17,J1713+0747,1,True,-0.15009473649962993,-0.04253028371737008,-1.133849581582165
J1721-2457,0.387,6.751,10.0,20.0,0.1,0.2,spin_inferred,0,1,,,-0.2353011386,4.536051562,-0.2353011386,4.536051562,-0.0745624314269779,1.4373880022561918,-1.720437525151251,0.06707540763498,1.1755472975420636,1.720437525151251,0.06707540763498,1.1755472975420636,1.721744576950356,2.232683414018936,0,0.387|6.751|10.0,130044916.0,3.7e+17,J1721-2457,0,True,-4.777510637294817,4.702948205867839,3.2718710595092424
J1738+0333,27.721,17.742,1.47,0.1,0.59,0.05,binary_orbital,1,0,1.133996065,4.125751232,,,1.133996065,4.125751232,0.3593416688848328,1.307371673384541,6.970612830155035,0.6512723927752792,0.4479550352797139,-6.970612830155035,0.6512723927752792,0.4479550352797139,7.000971286722524,174.6622849243895,0,27.721|17.742|1.47,365351396.1,1.31e+17,J1738+0333,1,True,-0.03699518291881404,0.39633685180364686,0.3031554529383406
J1741+1351,37.885,21.641,1.667,0.278,0.6,0.1,binary_orbital,1,0,3.516412665,2.816039945,,,3.516412665,2.816039945,1.1142839331888357,0.8923492106497325,6.9870667384594425,0.9515134826721384,0.6147725840592682,-6.9870667384594425,0.9515134826721384,0.6147725840592682,7.051558658579898,172.2450451217178,0,37.885|21.641|1.667,328681777.9,6.65e+16,J1741+1351,1,True,-0.20999970718856115,1.3242836403773968,1.4840419250364625
J1744-1134,14.794,9.18,0.388,0.005,2.58,0.03,spin_inferred,0,1,,,-0.3435690412,0.5545913877,-0.3435690412,0.5545913877,-0.1088704594772733,0.1757394059434177,7.8396669085500195,0.0978047360960056,0.0619002017306126,-7.8396669085500195,0.0978047360960056,0.0619002017306126,7.840276972366285,179.28523648263308,0,14.794|9.18|0.388,173736967.0,2.82e+17,J1744-1134,0,True,0.05492237756097046,-0.16379283703824377,-0.9320211147804817
J1751-2857,0.646,-1.124,0.909,0.331,1.1,0.4,spin_inferred,0,1,,,3.115569526,0.8518570619,3.115569526,0.8518570619,0.9872644073060054,0.2699372138248789,7.301232672144847,0.0102466285690057,-0.017831164459231,-7.301232672144847,0.0102466285690057,-0.017831164459231,7.301239862255754,179.91959053872552,0,0.646|-1.124|0.909,205978350.1,1.85e+17,J1751-2857,0,True,0.21569212912592514,0.7715722781800802,2.8583397866758595
J1801-1417,14.546,4.162,1.667,0.556,0.6,0.2,spin_inferred,0,1,,,-2.019572226,1.642753968,-2.019572226,1.642753968,-0.6399638204426192,0.520557319948285,6.600688747599147,0.4175749284613888,0.1209854206772964,-6.600688747599147,0.4175749284613888,0.1209854206772964,6.613883939377946,176.38015954532352,0,14.546|4.162|1.667,121290694.0,4.57e+17,J1801-1417,0,True,0.3384502001540769,-0.9784140205966961,-1.879550979503846
J1832-0836,23.109,0.257,2.083,0.608,0.48,0.14,spin_inferred,0,1,,,2.5353836,7.360091285,2.5353836,7.360091285,0.8034145815904884,2.332272189583492,6.294159489401002,0.8175309422233037,0.0093432572073689,-6.294159489401002,0.8175309422233037,0.0093432572073689,6.347030842804311,172.59944181916717,0,23.109|0.257|2.083,53688356.97,1.31e+18,J1832-0836,0,True,0.352720517203562,0.4506940643869264,0.19324248104481037
J1853+1303,44.875,5.367,1.887,0.249,0.53,0.07,spin_inferred,0,1,,,0.5702426926,0.5768365778,0.5702426926,0.5768365778,0.1806990051841711,0.1827884813167034,6.8786440302426985,1.325559470263938,0.1765003472664594,-6.8786440302426985,1.325559470263938,0.1765003472664594,7.005201753268776,169.09243904827304,0,44.875|5.367|1.887,188757688.1,2.41e+17,J1853+1303,0,True,-0.053103940999757196,0.23380294618392827,1.279090151084718
J1909-3744,359.731,-19.596,1.16,0.1,0.92,0.03,binary_orbital,1,1,-0.02775848316,3.154757624,-2.070369417,3.213641801,-0.02775848316,3.154757624,-0.0087961325195832,0.9996823662128932,7.117198235571282,-0.005130671701109,-0.389047529062162,-7.117198235571282,-0.005130671701109,-0.389047529062162,7.117200084879662,180.04130358237734,0,359.731|-19.596|1.16,103534243.7,4.15e+17,J1909-3744,1,True,0.03475006649485308,-0.04354619901443628,-0.04356003515336855
J1910+1256,46.564,1.795,2.778,0.463,0.36,0.06,spin_inferred,0,1,,,-1.986094037,0.7267709434,-1.986094037,0.7267709434,-0.6293552225137525,0.2302998147514386,6.300940298318531,2.0162348908559946,0.0870167817766997,-6.300940298318531,2.0162348908559946,0.0870167817766997,6.615667145351216,162.2558728194574,0,46.564|1.795|2.778,201774882.0,3.12e+17,J1910+1256,0,True,-0.14466786400729464,-0.4846873585064579,-2.1045929152378107
J1911-1114,25.137,-9.579,2.703,1.023,0.37,0.14,spin_inferred,0,1,,,1.074862899,6.932631747,1.074862899,6.932631747,0.3406034993155373,2.196818435812609,5.797106945182735,1.1321823649410343,-0.4497990646178906,-5.797106945182735,1.1321823649410343,-0.4497990646178906,5.906630667425328,168.94916260876084,0,25.137|-9.579|2.703,160841262.7,2.6e+17,J1911-1114,0,True,0.19350609237411084,0.14709740694142645,0.06695929192118907
J1923+2515,58.946,4.749,1.25,0.469,0.8,0.3,spin_inferred,0,1,,,0.1255604209,2.775262066,0.1255604209,2.775262066,0.0397876964344563,0.8794274805435139,7.567406522672411,1.0671755945498318,0.103488517687953,-7.567406522672411,1.0671755945498318,0.103488517687953,7.642284032211034,171.9729314630467,0,58.946|4.749|1.25,160598825.7,2.85e+17,J1923+2515,0,True,-0.12011997021968367,0.15990766665413997,0.18183155540615126
J1933-6211,334.431,-28.631,1.429,0.408,0.7,0.2,binary_orbital,1,1,0.9011184618,1.682035552,-2.220519254,1.538106286,0.9011184618,1.682035552,0.2855472094836109,0.5330049027809466,7.07856782062607,-0.5413389761644702,-0.6847293891475371,-7.07856782062607,-0.5413389761644702,-0.6847293891475371,7.099237302578193,184.3732268590624,0,334.431|-28.631|1.429,95944222.71,6.98e+17,J1933-6211,1,True,-0.21907072790105,0.5046179373846609,0.9467416429976965
J1944+0907,47.16,-7.357,1.667,0.833,0.6,0.3,spin_inferred,0,1,,,-2.604017243,13.53439246,-2.604017243,13.53439246,-0.8251632706542955,4.288790167820112,7.085849061693068,1.2122738282784085,-0.2134615496403368,-7.085849061693068,1.2122738282784085,-0.2134615496403368,7.1888013437446805,170.29161376758918,0,47.16|-7.357|1.667,114271121.0,1.05e+18,J1944+0907,0,True,-0.08601535261659629,-0.7391479180376992,-0.17234415513813542
J1946+3417,69.294,4.713,2.174,7.089,0.46,1.5,spin_inferred,0,1,,,-8.945084411,13.04027998,-8.945084411,13.04027998,-2.834526203196694,4.132215371257637,7.443931770855608,2.026698855081931,0.1786259194662478,-7.443931770855608,2.026698855081931,0.1786259194662478,7.714896529334915,164.76970325039895,0,69.294|4.713|2.174,130198341.6,3.04e+17,J1946+3417,0,True,-0.331302768209403,-2.503223434987291,-0.6057824217970121
J2010-1323,29.446,-23.54,3.125,1.074,0.32,0.11,spin_inferred,0,1,,,-3.729746854,1.087198433,-3.729746854,1.087198433,-1.1818854583365022,0.3445123941617866,5.715152818895789,1.4084142754927425,-1.24809125128118,-5.715152818895789,1.4084142754927425,-1.24809125128118,5.886136467560384,166.15615581351608,0,29.446|-23.54|3.125,137940845.8,7.34e+17,J2010-1323,0,True,-0.37227753745099845,-0.8096079208855037,-2.350011014423195
J2017+0603,48.621,-16.026,2.5,1.25,0.4,0.2,spin_inferred,0,1,,,5.658116453,0.7451141122,5.658116453,0.7451141122,1.7929489102466598,0.2361124141886582,6.621633263299104,1.8029801394229097,-0.6901838353574258,-6.621633263299104,1.8029801394229097,-0.6901838353574258,6.862708245057675,164.76839967628143,0,48.621|-16.026|2.5,153125637.6,1.83e+17,J2017+0603,0,True,-0.35790594305194606,2.150854853298606,9.109452633778218
J2033+1734,60.857,-13.154,1.0,0.6,1.0,0.6,spin_inferred,0,1,,,-3.09949187,1.823226786,-3.09949187,1.823226786,-0.982169705554288,0.5777457049965776,7.735786706332631,0.8504904648067471,-0.227569157360895,-7.735786706332631,0.8504904648067471,-0.227569157360895,7.782398730250195,173.725965909671,0,60.857|-13.154|1.0,237913531.9,3.2e+17,J2033+1734,0,True,-0.1614872003351668,-0.8206825052191211,-1.4204908805405703
J2124-3358,10.925,-45.438,0.476,0.023,2.1,0.1,spin_inferred,0,1,,,-2.754436505,1.508572004,-2.754436505,1.508572004,-0.8728282584860699,0.4780376213653762,7.882053382378185,0.0633009770359522,-0.3391459896515131,-7.882053382378185,0.0633009770359522,-0.3391459896515131,7.882307564181513,179.5398659872551,0,10.925|-45.438|0.476,157971430.7,4.99e+17,J2124-3358,0,True,-0.24906665104264059,-0.6237616074434293,-1.3048379030542299
J2129-5721,338.005,-43.57,3.6,1.4,0.26,0.17,binary_orbital,1,1,10.12400499,5.951322894,10.04932624,5.807571549,10.12400499,5.951322894,3.2081035915278724,1.885860424747129,5.7915241765083225,-0.9768821645560112,-2.48126498539729,-5.7915241765083225,-0.9768821645560112,-2.48126498539729,5.873333895711024,189.57421411515784,0,338.005|-43.57|3.6,236396895.1,1.27e+17,J2129-5721,1,True,-0.8350995720004192,4.0432031635282915,2.1439567374507242
J2145-0750,47.777,-42.084,0.625,0.015,1.4,0.08,binary_orbital,1,0,-0.400590657,0.3260564205,,,-0.400590657,0.3260564205,-0.1269395191649555,0.1033210448513194,7.898283218121238,0.3434985116487537,-0.4188871212990897,-7.898283218121238,0.3434985116487537,-0.4188871212990897,7.905749111953939,177.50976000033495,0,47.777|-42.084|0.625,640645131.3,3.21e+17,J2145-0750,1,True,-0.3025569652753693,0.1756174461104138,1.6997258047780106
J2222-0137,62.018,-46.075,0.268,0.001,3.73,0.016,binary_orbital,1,0,-0.7426882733,0.3355595398,,,-0.7426882733,0.3355595398,-0.2353437122277993,0.1063324016401754,8.122769331946314,0.1641814365401768,-0.193026595179295,-8.122769331946314,0.1641814365401768,-0.193026595179295,8.124428420763639,178.84206700079324,0,62.018|-46.075|0.268,4247839291.0,3.06e+16,J2222-0137,1,True,-0.20627874108911698,-0.02906497113868231,-0.2733406815829949
J2229+2643,87.693,-26.284,5.0,7.5,0.2,0.3,spin_inferred,0,1,,,5.113512884,6.355776217,5.113512884,6.355776217,1.6203744530636044,2.014023948906127,8.029539877179296,4.479417039807254,-2.2141041365653864,-8.029539877179296,4.479417039807254,-2.2141041365653864,9.194492245672302,150.8442847668536,0,87.693|-26.284|5.0,24155789.58,7.78e+18,J2229+2643,0,True,-0.5792017198376113,2.1995761729012155,1.0921300981032858
J2234+0611,72.991,-43.006,0.971,0.038,1.03,0.04,binary_orbital,1,1,-5.792644097,8.572858279,0.1814775406,0.8666704806,-5.792644097,8.572858279,-1.8355781482115243,2.7165748596217707,8.00228747255285,0.6790155693239326,-0.6622947701418241,-8.00228747255285,0.6790155693239326,-0.6622947701418241,8.031043950618162,175.14991723048524,0,72.991|-43.006|0.971,145748726.9,3.08e+17,J2234+0611,1,True,-0.4114514179633072,-1.4241267302482172,-0.5242361443507206
J2302+4442,103.395,-14.005,2.5,5.625,0.4,0.9,spin_inferred,0,1,,,0.6092616284,4.40019553,0.6092616284,4.40019553,0.1930633598245747,1.3943378235353767,8.771941846840672,2.3596983895009664,-0.6050164223852442,-8.771941846840672,2.3596983895009664,-0.6050164223852442,9.083784467597631,164.94356064268368,0,103.395|-14.005|2.5,260880946.8,2.03e+17,J2302+4442,0,True,-0.27826620140827457,0.4713295612328493,0.33803110930303965
J2317+1439,91.361,-42.36,1.667,0.222,0.6,0.08,spin_inferred,0,1,,,-0.4120172339,0.5233874797,-0.4120172339,0.5233874797,-0.130560382887165,0.1658514841749689,8.23925709128221,1.2314419943374368,-1.123202402593558,-8.23925709128221,1.2314419943374368,-1.123202402593558,8.330774681964574,171.4994777944263,0,91.361|-42.36|1.667,88898175.97,7.69e+17,J2317+1439,0,True,-0.46060966589751295,0.33004928301034797,1.9900291194388997
J2322-2650,28.637,-70.228,0.769,1.183,1.3,2.0,spin_inferred,0,1,,,1.67927956,2.069637395,1.67927956,2.069637395,0.532131581615839,0.6558285151595812,7.981685621242921,0.1246723747622531,-0.7236645240882748,-7.981685621242921,0.1246723747622531,-0.7236645240882748,7.982659240966312,179.10512385591085,0,28.637|-70.228|0.769,39570836.57,3.92e+18,J2322-2650,0,True,-0.49008118227832254,1.0222127638941614,1.5586586131367417
