spatial_cell,R_bin_kpc,absZ_bin_kpc,n,young_age_median,old_age_median,delta_Vphi_old_minus_young_kms,delta_ecc_old_minus_young,delta_zmax_old_minus_young_kpc,delta_radial_excursion_old_minus_young_kpc,delta_FeH_old_minus_young,delta_aFe_old_minus_young
7.0_2.5,7.0,2.5,141,6.973682757322605,11.011435860071927,136.45627310380195,0.4736598928763277,-0.011786785590395699,4.465837382406788,-0.8323178683723008,-0.00826932714470252
7.0_2.75,7.0,2.75,282,7.676830794587965,10.580634232293155,37.83039495640202,0.2582130160713212,0.005280206163838841,2.615641721312751,-0.5687589571422875,-0.019835172110791888
7.0_3.0,7.0,3.0,202,8.248698464095021,10.967279795919467,43.51979383324087,0.2506491468773906,-0.015949696340232578,2.2140503861811482,-0.16612625083590005,-0.031614770220842414
7.0_3.25,7.0,3.25,100,9.642528406202375,11.65267450506439,-109.89393858159615,-0.3798816520132906,0.07376204331623004,-2.6956430498633726,0.2748768030244886,-0.039934468158878245
7.5_1.75,7.5,1.75,82,6.1141586289162495,12.698512935496932,80.77400495212008,0.17977775527204937,0.5660720893351789,1.6365184811172586,-0.4322524394613385,0.07017668058242221
7.5_3.25,7.5,3.25,192,9.183486770625125,12.369007307887337,-4.810551077711068,-0.023971910174949707,0.05823597732619401,-0.2707466568776602,0.03553181908990788,-0.10317635981317563
8.0_0.0,8.0,0.0,161,4.205661333692938,13.609135883698276,-0.7021938865682387,-0.004358495339209997,-0.0147296168186372,-0.03431018900752836,0.27050423658344136,0.10440365511273521
8.0_0.75,8.0,0.75,94,5.662773398176008,13.086442136794584,49.82053431593684,0.21300156574002072,-0.15459326827168485,1.5543067291655799,-0.209645752362412,0.09298680389914238
8.0_1.0,8.0,1.0,98,5.460155098054295,13.021251401253616,105.35240366261479,0.15276950674055068,0.4952958006354671,1.6120424648266196,-0.3361011901793429,0.02432191668746564
8.0_1.25,8.0,1.25,105,5.821581867561915,12.149475351682478,59.89765328644766,0.07777844092242348,0.05994531445138995,0.46295476155208526,-0.18752514665185904,0.08184367822042088
8.0_1.5,8.0,1.5,121,5.626360504013423,12.684100983367982,11.41247652751818,0.16586305945496493,-0.04707312357992777,1.3626862853872659,-0.6281966053502301,0.08113745854413773
8.0_1.75,8.0,1.75,133,5.763885390911238,12.121547177323038,56.89231836140411,0.20357059225821805,-0.011102410272303631,0.7149207300746738,-0.8004164588885978,0.10277561964836845
8.0_2.0,8.0,2.0,88,6.211338049438829,12.327630184039979,98.99328612382905,0.2988500222338323,0.38030135110686514,3.1062431415291805,-0.925256378955726,0.0020718923415325996
8.5_0.0,8.5,0.0,128,4.449458314468343,13.59175627422026,3.116253670871316,-0.018214115707780684,0.017824465377956233,-0.38780223022940685,0.18452709364182948,0.0821528671059019
8.5_0.25,8.5,0.25,98,4.204930945329655,11.141980899561032,-0.18732743365160331,-9.283747679912635e-05,0.05652263181101502,0.04286521424915435,0.09442178179084543,0.05659010778005741
8.5_0.5,8.5,0.5,87,4.355284995689434,8.859955147804815,170.0221683747873,0.33620305757937574,0.89659050590931,8.586533349752287,-0.7294558510466556,0.19718814900035453
8.5_1.0,8.5,1.0,106,5.336812132554422,12.890084343455884,6.797415624267892,0.10263031350010432,0.5186998717850673,0.31730784855346705,-0.4299211121511126,0.0857341730796039
8.5_1.25,8.5,1.25,138,4.938079682714998,12.372990735529404,26.057187454579577,-0.01751560628790949,-0.018702621133332986,0.31407582091086006,-0.3095034273549293,0.07799142796446445
8.5_1.5,8.5,1.5,133,5.301877077892489,11.711444569514885,114.97375793946662,0.35808493950801146,0.8997680588288199,3.807084573423637,-1.06480805062365,0.06670643288739475
8.5_1.75,8.5,1.75,148,5.241148085688899,10.857994371505848,72.59455522272292,0.20408559749147076,0.0047527873625070605,1.6291731677719952,-0.7918737549761325,0.002189338166345922
8.5_2.0,8.5,2.0,147,5.710313905726116,11.703087383640831,12.60376809104153,0.002259955971297356,0.22504879096258623,-0.1472439480424521,-0.5472047057734026,0.0718467032680008
8.5_2.25,8.5,2.25,91,6.967786436554398,11.365610317267004,4.780872589085682,-0.020295994883379964,0.2491388725660615,0.4788919402600431,-0.7074353615628137,0.015467906297491119
