R_bin_kpc,absZ_bin_kpc,n,age_median_gyr,age_q25_gyr,age_q75_gyr,old_fraction_age_gt_8gyr,FeH_median,aFe_median,Vphi_median_kms,Vr_sigma_kms,Vz_sigma_kms,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,present_minus_orbit_mid_median_kpc
4.0,1.25,94,7.493146192678392,6.016891507152072,9.21773488444309,0.39361702127659576,-1.4809544716115441,0.3638684139984441,-97.57927090612347,131.72667276236197,94.89266516732889,0.4910398605366182,1.636160890860308,3.4072533563118412,0.40840132807757334
4.0,1.5,105,8.442329621696699,7.126492304316499,9.750337354207836,0.580952380952381,-1.361080724947608,0.3637581714821111,-102.5304102349874,128.43630118873668,94.61208773522694,0.4744859192801732,1.7293334480274247,3.4250468929685334,0.6205925974811528
4.0,1.75,129,8.536554980949921,6.747918336098349,9.87696941744808,0.5891472868217055,-1.4205296800461988,0.36561605540468206,-99.41013726393356,107.82151407968861,73.61619786223939,0.5224992292790132,1.9988318888304513,3.5436378840227025,0.6857218312751341
4.0,2.0,119,8.951320111251443,8.079365177125897,9.641811760205483,0.7647058823529411,-1.4000198304268294,0.335112930630076,-55.41652179063598,142.48497938999816,99.26031405333035,0.5313296196438472,2.5926352621219886,3.620183932014437,0.23605301132909684
4.0,2.25,84,9.312306496977307,8.685572232973726,9.93989245149157,0.8690476190476191,-1.5123997150754263,0.3484138875326355,-40.189905957496116,128.26734767282105,89.38974152404685,0.562809177299324,2.741640783132784,3.553537172486215,0.5139055654534121
4.0,2.5,73,9.387288280832747,9.12201176628526,10.0612538205894,0.9178082191780822,-1.55678747762775,0.33570902299212574,-11.069996229155898,133.11952557139645,110.73508761862327,0.5379208252319484,2.8587192349396515,3.512679025202596,0.8094485612156919
4.0,2.75,44,9.783955218133375,9.46918890213714,10.138526782543597,0.9545454545454546,-1.6711518111717112,0.3194539316085603,-27.900131604499826,141.2275135679826,103.920981443414,0.5242273397989415,3.1743695485510206,3.347453637249026,0.38104428377414346
4.0,3.0,35,9.823495321432286,9.341227672149383,10.12770522632185,0.9714285714285714,-1.4942233978592696,0.315911151312632,-34.276624342597614,127.76516581888981,116.12387322829875,0.4893308775962812,3.323299634925303,3.072590021865168,0.3995476995635583
4.0,3.25,45,9.701473456211902,9.250238177603201,10.035105027948887,1.0,-1.4320437202971565,0.3006682600734992,-51.03926567027884,120.02837232323765,102.54408836978217,0.4908018906243093,3.804350768128546,2.9994138057723685,0.34843901272301636
4.0,3.5,42,9.632872308561371,9.126086272517554,10.132817273589398,0.9761904761904762,-1.4678290789070738,0.2935433509762605,-19.88152298330101,121.12444623155251,124.89859758554891,0.5110759559494902,3.6102324989310626,2.9496596545748903,0.6962148511536821
