source_id_1,source_id_2,passes_pair,passing_h,best_min_neff,best_h_kpc,best_neffU,best_neffV,sum_abs_phase_kpc
1871915630021420672,4512885247948565376,True,5.0;7.0;10.0,4.1507119526858105,7.0,4.1507119526858105,4.15493973107153,10.36228239565407
2162679246615275264,4513281175196176512,True,5.0;7.0;10.0,4.14971776685458,7.0,4.693772969586069,4.14971776685458,11.602703434936528
2072235820984829312,1978690990909022336,True,7.0;10.0,4.149230650474452,7.0,4.149230650474452,4.218478584248002,20.673113685859537
2025179884408158464,4512885247948565376,True,3.0;4.0;5.0;7.0;10.0,4.14594440787242,7.0,4.14594440787242,4.606175134951406,4.702785586213005
2195158098523149312,2062016551910446592,True,5.0;7.0;10.0,4.1425214284153435,10.0,4.1425214284153435,4.230339519312666,21.83889929817846
2195158098523149312,4512885247948565376,True,7.0;10.0,4.141572730897715,10.0,4.684446056645868,4.141572730897715,15.649502024942908
2165006259882192128,4513399883752121216,True,5.0;7.0;10.0,4.139769350438839,7.0,4.338318920241519,4.139769350438839,12.107653465204923
2162679246615275264,4160906424545920128,True,5.0;7.0;10.0,4.137744873537218,7.0,4.648132279552504,4.137744873537218,21.54004105159869
4160906424545920128,4512885247948565376,True,5.0;7.0;10.0,4.126475818392021,7.0,4.126475818392021,4.28744646256494,11.520013640389324
1861245556872133504,1871915630021420672,True,4.0;5.0;7.0;10.0,4.1255057980206,10.0,4.402346749989972,4.1255057980206,14.962750629044674
2195158098523149312,1871915630021420672,True,7.0;10.0,4.125182752958628,10.0,4.316778087578764,4.125182752958628,23.957196660213395
2062016551910446592,1871915630021420672,True,4.0;5.0;7.0;10.0,4.122593702747226,10.0,4.3446202439945045,4.122593702747226,16.551679668889623
2022722274099045376,1979638838645769216,True,7.0;10.0,4.120805834226641,10.0,4.6225872856,4.120805834226641,15.967572150249007
2031745858613175040,2165006259882192128,True,5.0;7.0;10.0,4.12032793394941,7.0,4.12032793394941,4.4868979445122505,16.226771514026808
2072235820984829312,4512885247948565376,True,5.0;7.0;10.0,4.119085425385197,10.0,4.89318134852347,4.119085425385197,8.285417091665616
4310507179195737984,4512885247948565376,True,3.0;4.0;5.0;7.0;10.0,4.11873661129327,10.0,4.277321479180444,4.11873661129327,5.149268759242724
2022722274099045376,4314393025132914944,True,2.0;3.0;4.0;5.0;7.0;10.0,4.11862287731412,10.0,4.633374527944192,4.11862287731412,3.9453752600240155
2162679246615275264,4320461195449352064,True,5.0;7.0;10.0,4.116357103661691,7.0,4.116357103661691,4.466175810823249,12.61333925962659
2165006259882192128,4314164395446976128,True,5.0;7.0;10.0,4.112107110005538,7.0,4.295892580971084,4.112107110005538,13.218920861836693
2022722274099045376,4280510268611908480,True,5.0;7.0;10.0,4.1104000615356515,10.0,4.423936601462359,4.1104000615356515,8.629218944748185
2031745858613175040,4311113353708708864,True,3.0;4.0;5.0;7.0;10.0,4.1101386224064544,7.0,4.1101386224064544,4.609200617752469,8.605218412529705
4513281175196176512,4160906424545920128,True,4.0;5.0;7.0;10.0,4.1095358071741614,7.0,4.6378584608686415,4.1095358071741614,11.048101903732904
2165006259882192128,2033842562903693184,True,7.0;10.0,4.106963724808831,7.0,4.193472019704346,4.106963724808831,17.686262540973132
2195158098523149312,4513399883752121216,True,7.0;10.0,4.106915619254797,7.0,4.106915619254797,4.218677517619727,14.917388004668398
2025179884408158464,1871915630021420672,True,4.0;5.0;7.0;10.0,4.102388352003341,7.0,4.446136725627084,4.102388352003341,13.010480221483492
2072235820984829312,1871915630021420672,True,5.0;7.0;10.0,4.101320731266469,7.0,4.445049879427469,4.101320731266469,16.593111726936105
2195158098523149312,4320165285017783168,True,7.0;10.0,4.1011810275288125,7.0,4.1011810275288125,4.14814626233461,15.94022329191555
2025179884408158464,2195158098523149312,True,5.0;7.0;10.0,4.097607281176468,10.0,5.279680171991674,4.097607281176468,18.297699850772332
2022722274099045376,4320461195449352064,True,1.0;2.0;3.0;4.0;5.0;7.0;10.0,4.0967969048028365,7.0,4.0967969048028365,4.349875017274747,3.5409666951126635
2031745858613175040,4280510268611908480,True,3.0;4.0;5.0;7.0;10.0,4.094399526461535,7.0,4.094399526461535,4.59698695828321,11.068568126600123
